"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"1";123;"MAR2_20";1;"pottery";"";"";"Marandet";"Marandet";NA
"2";124;"MAR2_20";2;"pottery";"";"";"Marandet";"Marandet";NA
"3";125;"MAR2_20";3;"pottery";"";"";"Marandet";"Marandet";NA
"4";126;"MAR2_3";1;"pottery";"";"";"Marandet";"Marandet";NA
"5";127;"MAR2_3";2;"pottery";"";"";"Marandet";"Marandet";NA
"6";128;"MAR2_3";3;"pottery";"";"";"Marandet";"Marandet";NA
"7";129;"MAR2_52";1;"pottery";"";"";"Marandet";"Marandet";NA
"8";149;"MAR2_52";1;"pottery";"";"";"Marandet";"Marandet";NA
"9";150;"MAR2_52";2;"pottery";"";"";"Marandet";"Marandet";NA
"10";151;"MAR3_33";1;"pottery";"";"";"Marandet";"Marandet";NA
"11";152;"MAR3_33";2;"pottery";"";"";"Marandet";"Marandet";NA
"12";153;"MAR3_33";3;"pottery";"";"";"Marandet";"Marandet";NA
"13";154;"MAR3_40";1;"pottery";"";"";"Marandet";"Marandet";NA
"14";155;"MAR3_40";2;"pottery";"";"";"Marandet";"Marandet";NA
"15";156;"MAR3_40";3;"pottery";"";"";"Marandet";"Marandet";NA
"16";157;"MAR2_1";1;"pottery";"";"";"Marandet";"Marandet";NA
"17";159;"MAR2_1";2;"pottery";"";"";"Marandet";"Marandet";NA
"18";160;"MAR2_1";3;"pottery";"";"";"Marandet";"Marandet";NA
"19";161;"MAR3_62";1;"pottery";"";"sherd1";"Marandet";"Marandet";NA
"20";162;"MAR3_62";2;"pottery";"";"sherd1";"Marandet";"Marandet";NA
"21";163;"MAR3_62";3;"pottery";"";"sherd1";"Marandet";"Marandet";NA
"22";164;"MAR3_62";1;"pottery";"";"sherd2";"Marandet";"Marandet";NA
"23";165;"MAR3_62";2;"pottery";"";"sherd2";"Marandet";"Marandet";NA
"24";166;"MAR3_62";3;"pottery";"";"sherd2";"Marandet";"Marandet";NA
"25";180;"MAR3_16";1;"pottery";"";"";"Marandet";"Marandet";NA
"26";181;"MAR3_16";2;"pottery";"";"";"Marandet";"Marandet";NA
"27";182;"MAR3_16";3;"pottery";"";"";"Marandet";"Marandet";NA
"28";183;"MAR3_48";1;"pottery";"";"";"Marandet";"Marandet";NA
"29";184;"MAR3_48";2;"pottery";"";"";"Marandet";"Marandet";NA
"30";185;"MAR3_48";3;"pottery";"";"";"Marandet";"Marandet";NA
"31";192;"KAM_74";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"32";193;"KAM_74";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
