Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1030;27.11.2023 10:20;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;104,1;2,85;201,32;3,26;<LOD;5,04;154,82;3,35;5,24;0,74;24,85;3,52;<LOD;2,16;12,33;2,98;<LOD;33,61;<LOD;0,23;155,26;8,34;<LOD;36,97;<LOD;15,37;81,87;16,99;<LOD;103,45;42341,89;215,67;587,22;41,09;163,15;9,74;136,84;7,27;4510,29;47,94;21,06;2,34;18823,65;116,55;23296,87;174,85;308,71;92,38;608,98;27,69;36,79;9,72;484,1;18,59;64,28;7,51;<LOD;0,83;<LOD;7,69;<LOD;4,6;47,67;6,68;238,17;24,66;162,82;20,47;584343,13;2834,34;15,1;1,66;24,25;1,93;<LOD;49,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;131306,7;1568,97;1204,64;74,51;167916,84;913,81;4573,11;51,49;<LOD;1733,42
1031;27.11.2023 10:32;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;106,59;2,73;203,32;3,12;<LOD;4,9;158,55;3,23;5,25;0,71;28,79;3,45;<LOD;1,93;13;2,92;<LOD;31,25;0,44;0,15;147,71;7,8;<LOD;34,63;31,84;8,62;108,8;16,19;<LOD;99,65;43211,55;207,85;630,07;40,23;213,03;11,58;133,25;7,27;4635,96;48,07;22,43;2,72;21785,27;136,59;28796,98;209,96;347,7;108,21;637,69;25,68;31,23;8,92;461,35;16,93;63,88;6,9;<LOD;0,77;<LOD;7,02;<LOD;4,11;41,86;6,02;275,43;23,31;182,59;19,23;530690,63;3024,58;15,64;1,59;24,29;1,86;<LOD;47,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;163195,42;1744,88;1551,11;73,11;187699,28;923,18;4734,15;50,26;<LOD;1703,24
1032;27.11.2023 10:44;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;324,44;4,27;341,81;4,16;<LOD;4,32;71,4;2,51;5,41;0,79;127,49;5,72;<LOD;2,06;14,17;4,6;<LOD;31,55;0,39;0,16;62,96;6,29;<LOD;34,31;64,24;9,51;<LOD;29,68;<LOD;101,4;39307,14;206,15;560,57;40,81;148,17;10,51;216,55;7,58;7695,95;59,41;<LOD;1,91;5003,18;66,8;20179,78;160,94;251,6;83,92;1690,85;29,66;64,79;8,71;473,13;16,27;66,29;6,61;<LOD;0,74;<LOD;6,77;<LOD;3,97;40,33;5,72;441,33;24,59;270,1;19,79;566592,44;2492,5;37,53;1,97;91,27;2,54;<LOD;49,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;110402,06;1242,78;1073,82;57,52;238383,45;1043,55;1824,2;30,68;<LOD;1361,23
1033;27.11.2023 11:24;TestAll Geo;330,46;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;536,96;5;171,03;2,95;<LOD;3,79;51,68;2,11;4,07;0,67;43,18;3,87;<LOD;1,79;13,35;3,24;<LOD;30,76;0,46;0,16;101,27;6,89;<LOD;34,17;43,8;8,76;<LOD;28,41;<LOD;88;28246,16;171,85;404,44;35,83;65,64;9,24;128,1;5,96;5670,67;46,54;<LOD;2,06;7441,28;70,95;12387,39;122,48;241,31;74,29;812,53;23,87;31,71;8;449,8;15,08;59,13;6,13;<LOD;0,67;<LOD;6,31;<LOD;3,58;42,52;5,39;385,69;22,41;221,21;17,97;567511,13;2320,93;31,36;1,83;84,75;2,36;<LOD;40,39;<LOD;1,5;<LOD;1,5;<LOD;1,5;92368,63;1079,2;3657,44;76,26;272593,66;1136,47;1720,85;28,84;<LOD;1307,94
1034;27.11.2023 11:35;TestAll Geo;330,51;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;355,74;4,42;302,07;3,95;<LOD;4,3;71,09;2,51;5,66;0,79;111,27;5,47;<LOD;2,13;9,11;4,35;<LOD;32,79;0,31;0,16;77,86;6,66;<LOD;34,78;51,67;9,48;<LOD;30,44;<LOD;100,56;37244,2;202,15;494,96;39,59;146,43;9,21;161,84;7,23;8006,42;60,79;<LOD;1,59;4073,19;56,21;17211,72;138,14;167,1;71,62;1458,99;29,47;22,25;8,75;440,32;16,47;51,56;6,65;<LOD;0,74;<LOD;6,97;<LOD;4,13;30,5;5,67;412;25,35;236,43;20,29;557126,75;2600,29;38,62;2,01;110,8;2,75;<LOD;48,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;116633,13;1314,56;724,7;57,53;245043,3;1080,48;1661,49;31,25;<LOD;1435,06
1035;27.11.2023 11:45;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;324,87;4,09;274,95;3,64;<LOD;4,01;62,1;2,29;4,46;0,73;121,72;5,44;<LOD;1,98;<LOD;8,88;<LOD;31,05;0,36;0,15;64,95;6,05;<LOD;34;48,55;8,99;<LOD;29,34;119,49;50,65;29721,95;174,43;575,74;38,83;114,71;8,83;164,68;6,97;7553,2;57,37;<LOD;1,55;4005,78;54,33;15720,77;130,3;153,98;68,54;1951,8;31,29;62,56;8,84;472,08;16,52;58,75;6,64;<LOD;0,73;<LOD;6,94;<LOD;4,08;39,83;5,8;396,86;25,11;239,08;20,28;587952,38;2407,57;34,4;1,86;90,13;2,44;<LOD;44,26;<LOD;1,5;<LOD;1,5;<LOD;1,5;104837,05;1192,14;699,12;55,88;235001,05;1042,23;1729,66;30,78;<LOD;1387,73
1036;27.11.2023 12:00;TestAll Geo;330,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;456,45;4,54;157,01;2,77;<LOD;3,61;50,68;2,03;3,36;0,62;38,22;3,65;<LOD;1,71;9,62;3;<LOD;29,68;0,44;0,15;89,79;6,36;<LOD;32,38;<LOD;13,51;102,62;15,4;<LOD;79,54;21020,86;145,1;328,49;32,73;111,52;9,33;120,59;5,76;6237,34;48,09;1,69;1;3578,28;50,12;9749,87;105,91;189,42;66,52;828,96;23,38;56,49;7,9;470,7;14,87;59,7;5,99;<LOD;0,66;<LOD;6,06;<LOD;3,37;42,16;5,25;386,74;21,82;244,24;17,7;544628,44;2403,16;31,46;1,78;87,03;2,33;<LOD;38,24;<LOD;1,5;<LOD;1,5;<LOD;1,5;122825,87;1205,33;1014,9;50,29;281565,72;1158,95;1529,99;25,87;<LOD;1159,65
1037;27.11.2023 12:07;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;473,86;4,59;147,38;2,68;<LOD;3,64;48,03;1,99;3,65;0,62;30,55;3,43;<LOD;1,66;8,83;2,83;<LOD;29,58;0,35;0,14;86,68;6,28;<LOD;31,21;<LOD;13,2;<LOD;27,38;<LOD;82,39;23859,79;153,97;311,19;32,39;93,73;9,82;134,37;5,99;6060,39;47,82;1,51;1;3101,85;49,7;9787,59;110,75;<LOD;122,97;734,5;22,45;<LOD;11,26;431,06;14,27;39,92;5,7;<LOD;0,63;<LOD;5,91;<LOD;3,39;40,79;5,12;327,37;20,81;203,41;16,95;552341,06;2347,03;31,24;1,77;83,15;2,27;<LOD;37,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;113103,88;1155,52;841,77;48,91;282701,97;1156,17;1091,19;23,84;<LOD;1180,8
1038;27.11.2023 12:16;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;482,19;4,53;135,88;2,54;<LOD;3,4;46,25;1,92;3,47;0,6;27,14;3,27;<LOD;1,62;9,14;2,72;<LOD;28,82;0,36;0,14;85,27;6,14;<LOD;31,44;<LOD;13,01;95,37;14,93;<LOD;79;22434,01;146,6;294,22;31,39;65,58;9,09;118,19;5,66;6062,77;46,45;<LOD;1,43;3147,63;47,41;8654,88;100,82;<LOD;117;733,32;22,63;34,28;7,71;449,7;14,53;49,67;5,83;<LOD;0,65;<LOD;6,05;<LOD;3,37;39,04;5,13;403,06;21,74;236,15;17,43;570152,06;2257,62;29,19;1,71;77,26;2,16;<LOD;36,45;<LOD;1,5;<LOD;1,5;<LOD;1,5;115335,52;1135,86;805,83;47,14;265187,13;1101,12;968,79;22,33;<LOD;1108
1039;27.11.2023 12:39;TestAll Geo;330,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;329,92;4,24;327,06;4,03;<LOD;4,31;69,98;2,39;3,86;0,67;33;3,65;<LOD;2,02;<LOD;6,46;<LOD;31,91;<LOD;0,22;84,79;6,76;<LOD;35,95;31,6;9,13;56,42;16,55;<LOD;86,88;38272,56;201,29;361,65;35,68;123,99;9,04;187,66;8,09;5479,15;56,27;2,19;1,19;5197,31;61,11;13184,44;125,25;158,74;71,19;332,92;24;<LOD;12,02;268,47;15,29;<LOD;9,43;<LOD;0,7;<LOD;7,28;<LOD;4,26;25,17;5,65;236,15;23,31;143,41;19,08;542882,5;2680,55;36,11;1,87;56,35;2,11;<LOD;42,23;<LOD;1,5;<LOD;1,5;<LOD;1,5;98004,19;1286,9;1775,89;76,06;277027,88;1147,11;1391,98;33,55;<LOD;1691,28
