Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
3384;25.02.2025 19:31;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;182839,56;919,06;4663,38;58,54;156684,27;1738,51;43286,72;207,43;619,09;39,89;<LOD;1777,53;21979,53;173,55;30293,44;271,45;1667,89;77,51;635,53;146,61;138,52;9,24;220,48;14,71;132,14;16,42;33,14;8,65;156,54;7,94;200,8;3,1;160,21;3,23;17,94;1,6;108,18;2,73;24,77;1,86;28,04;3,42;4,81;0,7;<LOD;4,94;<LOD;1,5;<LOD;1,91;12,69;2,89;<LOD;31,61;0,34;0,15;<LOD;34,71;<LOD;99,14;23,25;3,45;624,65;20,66;28,08;7,18;468,03;13,71;56,22;5,51;<LOD;0,61;<LOD;5,51;<LOD;3,2;39,94;4,82;265,79;18,92;158,81;15,47;<LOD;46,67;<LOD;1,5;<LOD;1,5;<LOD;1,5;8567,35;68,79;536184,75;3040,19
3383;25.02.2025 19:25;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;207640,97;1048,44;4578,16;54,55;105411,78;1295,65;56472,63;265,33;898,51;50,8;<LOD;1568,34;963,91;33,11;3626,77;83,24;3244,22;86,91;165,79;69,35;121,03;8,84;140,72;9,26;142,89;20,08;69,9;11,35;62,1;7,1;57,41;2,02;52,56;2,35;28,41;1,89;443,69;4,95;25,4;1,8;19,9;3,57;5,7;0,76;<LOD;3,94;<LOD;1,5;<LOD;2,47;7,16;2,96;<LOD;37,71;<LOD;0,25;<LOD;40,75;<LOD;118,84;1,18;0,72;176,79;21,07;<LOD;11,39;325,06;14,49;18,14;5,9;<LOD;0,66;<LOD;6,52;<LOD;3,75;24,66;5,18;213,53;21,01;134,59;17,33;<LOD;48,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;2367,85;37,35;605549,06;2560,5
3382;25.02.2025 19:15;TestAll Geo;330,16;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;223007,5;979,38;7000,58;65,84;122760,52;1293,62;52779,66;232,68;800,2;44,32;<LOD;1338,16;1251,95;47,97;6481,34;127,45;4981,86;87,16;292,8;101,4;112,18;8,7;229,82;13,82;146,7;17,01;47,84;9,05;51,9;6;50,51;1,73;47,99;2,06;28,93;1,71;456,31;4,54;26,09;1,62;17,14;3,12;5,79;0,69;<LOD;3,47;<LOD;1,5;<LOD;1,8;6,89;2,58;<LOD;30,25;<LOD;0,21;<LOD;33,4;<LOD;106;1,97;1,05;290,29;18,05;<LOD;9,69;371,7;12,35;29,78;5;<LOD;0,56;<LOD;5,12;<LOD;2,9;35,99;4,49;227,71;17,38;132,37;14,21;<LOD;43,5;<LOD;1,5;<LOD;1,5;<LOD;1,5;1873,42;29,76;574017,31;2446,61
3381;25.02.2025 18:58;TestAll Geo;330,09;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;227303,81;973,88;6723,16;62,72;110270,32;1162,33;49817,37;223,31;668,01;41,42;<LOD;1235,7;1668,11;52,84;6973,28;131,37;4040,43;75,99;332;94,62;103,77;8,17;217,66;14,37;112,27;16,07;48,99;8,73;53,51;5,89;49,82;1,7;48,15;2,04;26,99;1,68;409,07;4,28;22,96;1,56;15,28;3,05;6,62;0,7;<LOD;3,43;<LOD;1,5;<LOD;1,85;9,45;2,57;<LOD;29,6;0,31;0,15;<LOD;31,49;<LOD;103,59;2,34;1,17;411,16;17,89;<LOD;9,6;423,37;12,21;44,36;4,93;<LOD;0,55;<LOD;4,92;<LOD;2,64;41,8;4,41;265,85;17,02;172,65;14;<LOD;43,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;1560,66;26,4;586493,56;2287,93
3380;25.02.2025 18:42;TestAll Geo;330,2;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;218150,23;965,75;6076,79;57,24;114438,68;1152,36;35334,92;184,91;760,55;40,91;<LOD;1128,52;723,71;37,05;4586,41;104,48;1259,01;53,37;<LOD;124,31;104,91;7,58;156,03;12,46;165,12;16,27;28,98;8,17;77,67;6,17;42,5;1,57;44,56;1,95;21,99;1,57;272,85;3,52;22,14;1,5;13,45;2,89;<LOD;158,63;<LOD;3,34;<LOD;1,5;<LOD;1,76;5,67;2,37;<LOD;29,37;0,33;0,14;<LOD;32,65;<LOD;92,5;1,56;0,86;685,04;19,08;38,16;6,58;455,63;12,42;57,08;5,03;<LOD;0,55;<LOD;4,97;<LOD;2,68;36,5;4,34;312,18;17,66;193,01;14,4;<LOD;38,7;<LOD;1,5;<LOD;1,5;<LOD;1,5;357,53;19,55;611267,94;2188,84
3379;25.02.2025 18:21;TestAll Geo;330,18;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;214948,56;963,17;6141,71;59,35;103268,99;1114,21;38074,19;191,94;1609,84;52,81;<LOD;1174,42;710,6;37,25;4571,77;105,6;1391,56;57,63;<LOD;135,2;123,96;8,19;169,37;12,68;148,87;16,18;31,16;8,3;81,59;6,26;44,63;1,59;41,79;1,89;23,08;1,58;287,69;3,6;22,52;1,49;13,32;2,87;<LOD;156,94;<LOD;3,25;<LOD;1,5;<LOD;1,68;<LOD;5,34;<LOD;28,96;0,32;0,14;<LOD;31,91;<LOD;94,02;1,55;0,87;622,78;19,48;32,28;6,79;446,53;12,8;56,68;5,2;<LOD;0,58;<LOD;5,11;<LOD;2,85;37,22;4,51;306,88;18,17;181,66;14,75;<LOD;38,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;476,3;21,64;621707,81;2145,3
3378;25.02.2025 18:11;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;229206,45;995,24;6713,73;62,69;106871,38;1154,46;42780,7;203,92;685,11;40,52;<LOD;1247,57;834,24;39,36;5169,79;110,5;1968,63;63,16;153,63;86,98;110,8;8,28;163,73;12,45;130,66;16,26;47,88;8,75;80,99;6,38;47,81;1,65;50,23;2,04;27,49;1,65;364,23;4;24,92;1,56;14,05;2,94;5,54;0,66;<LOD;3,43;<LOD;1,5;<LOD;1,77;4,88;2,39;<LOD;29,86;0,26;0,14;<LOD;33,01;<LOD;98,09;<LOD;1,33;558,25;19,37;11,46;6,77;431,7;12,82;52,07;5,2;<LOD;0,57;<LOD;5,23;<LOD;2,97;35,93;4,52;301,12;18,42;186,95;15,04;<LOD;41,35;<LOD;1,5;<LOD;1,5;<LOD;1,5;531,66;22,28;598479,19;2254,21
3377;25.02.2025 17:36;TestAll Geo;330,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;252195,83;1093,18;6072,11;59,42;134256,48;1317,19;34457,98;184,26;422,34;35,49;<LOD;1201,74;1382,36;46,86;5237,24;113,74;1210,51;54,87;<LOD;128,33;113,99;8,13;171,29;13,06;102,82;15,56;<LOD;13,32;26,11;4,95;51,79;1,71;36,13;1,83;20,21;1,58;298,56;3,7;28,57;1,59;12,58;2,88;4,22;0,61;<LOD;3,28;<LOD;1,5;<LOD;1,79;7,72;2,42;<LOD;29,6;0,48;0,15;<LOD;32,53;<LOD;93,08;<LOD;1,53;735,58;19,21;36,2;6,55;442,37;12,29;55,91;4,98;<LOD;0,54;<LOD;4,99;<LOD;2,79;36,5;4,32;372,19;18,54;209,66;14,85;<LOD;37,53;<LOD;1,5;<LOD;1,5;<LOD;1,5;369,79;20,41;556956,63;2440,47
3376;25.02.2025 17:27;TestAll Geo;330,48;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;248890,16;1087,83;6179,97;60,93;140020,16;1356,68;36878,23;191,78;375,6;34,94;<LOD;1247,16;1492,26;50,39;5725,01;122,13;1158,05;53,77;<LOD;124,74;113,76;8,3;158,26;13,67;90,61;15,43;<LOD;13,19;30,53;5,09;57,17;1,79;39,36;1,88;20,4;1,6;300,68;3,74;30,46;1,63;14,42;2,97;4,92;0,64;<LOD;3,25;<LOD;1,5;<LOD;1,76;4,61;2,4;<LOD;29,32;0,27;0,14;<LOD;31,43;<LOD;95,42;2,67;1,13;640,73;18,67;<LOD;9,53;405,57;11,96;43,12;4,86;<LOD;0,54;<LOD;4,94;<LOD;2,71;35,52;4,27;300,39;17,33;188,52;14,15;<LOD;39,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;463,95;20,92;551957,75;2501,83
3375;25.02.2025 17:18;TestAll Geo;330,15;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;264835,69;1091,84;6295,58;60,7;139130,3;1387,17;42923,48;203,76;444,21;36,18;<LOD;1331,44;1583,01;47,36;5819,35;113,77;1181,02;57,78;<LOD;138,48;109,47;8,21;160,22;12,11;96,99;15,79;<LOD;13,57;41,91;5,45;64,09;1,85;45,44;1,97;21,86;1,6;342,67;3,9;33,27;1,67;18;3,06;5,19;0,65;<LOD;3,39;<LOD;1,5;<LOD;1,85;6,73;2,52;<LOD;30,62;0,34;0,14;<LOD;32,2;<LOD;98,4;1,57;1,01;520,06;19,37;<LOD;9,93;386,19;12,62;33,62;5,11;<LOD;0,57;<LOD;5,36;<LOD;2,92;33,72;4,52;261,32;18,15;154,93;14,8;<LOD;40,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;589,86;23,22;529976,63;2573,74
