Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
985;22.11.2023 12:21;TestAll Geo;0,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;268,88;<LOD;137,16;<LOD;94,19;<LOD;267,72;<LOD;9009,49;<LOD;393,55;<LOD;59,68;<LOD;325,76;<LOD;549,1;<LOD;1,86;<LOD;855,03;<LOD;2562,75;<LOD;91,33;<LOD;1521,58;<LOD;4416,77;42146,79;11019,12;<LOD;4118,8;<LOD;611,55;<LOD;486,2;945805;18738,58;<LOD;156,68;<LOD;139,32;<LOD;2388,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;1889,49;<LOD;7026,9;<LOD;19986,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;22.11.2023 12:21;TestAll Geo;0,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;229,52;<LOD;290,66;<LOD;246,95;<LOD;306,12;<LOD;15508,1;<LOD;47,45;<LOD;104,99;<LOD;250,89;<LOD;141,69;<LOD;0,72;<LOD;30,55;<LOD;2567,46;<LOD;810,76;<LOD;1541,89;<LOD;5094,37;54929,96;12592,46;<LOD;5055,38;<LOD;610,31;<LOD;478,07;928191,06;23011,84;<LOD;155,34;<LOD;194,48;<LOD;4480,86;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;4676,96;<LOD;3459,75;<LOD;27176,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
987;22.11.2023 12:21;TestAll Geo;0,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;212,74;<LOD;198,13;<LOD;266,99;<LOD;236,45;<LOD;8306,18;<LOD;256,82;<LOD;93,5;<LOD;209,52;<LOD;333,71;<LOD;14,73;<LOD;389,16;<LOD;294,9;<LOD;602,19;<LOD;1203,24;<LOD;3523,89;40584,35;8692,84;<LOD;2668,67;<LOD;384,52;<LOD;348,29;944392,69;17567,3;<LOD;129,54;<LOD;46,54;<LOD;2243,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;3321,04;<LOD;990,21;<LOD;21072,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
988;22.11.2023 12:21;TestAll Geo;0,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;113,46;195,73;85,6;<LOD;138,58;120,58;70,77;<LOD;3747,12;<LOD;210,18;<LOD;22,22;<LOD;206,77;<LOD;279,47;<LOD;8,59;<LOD;360,27;<LOD;768,76;<LOD;608,86;<LOD;817,2;<LOD;2632,12;44392,24;5832,45;<LOD;1661,62;<LOD;286,58;<LOD;237,63;943141;11200,21;<LOD;65,94;<LOD;84,05;<LOD;921,44;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;3962,01;<LOD;2182,6;<LOD;12356,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
989;22.11.2023 12:21;TestAll Geo;0,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;214,32;<LOD;212,14;<LOD;240,98;<LOD;135,49;<LOD;535,99;<LOD;407,03;<LOD;4,32;<LOD;297,6;<LOD;87,28;<LOD;16,52;<LOD;438,82;<LOD;278,86;<LOD;73,41;<LOD;1123,49;<LOD;4092,77;39033,51;9072,31;<LOD;3708,05;<LOD;471,69;<LOD;359,28;952288,75;15610,29;<LOD;109,99;<LOD;140,65;<LOD;123,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;4321,18;<LOD;5548,93;<LOD;15928,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
990;22.11.2023 12:27;TestAll Geo;330,34;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,22;2,74;202,37;3,12;<LOD;4,85;158,8;3,23;5,14;0,71;29,39;3,47;<LOD;1,93;12,1;2,91;<LOD;30,44;0,37;0,15;145,36;7,74;<LOD;34,28;27,43;8,54;112,33;16,33;<LOD;99,97;42908,37;207,08;646,6;40,4;<LOD;7,1;<LOD;4,16;540721,88;2968,48;16,39;1,59;25,25;1,87;<LOD;46,88;<LOD;1,5;<LOD;1,5;<LOD;1,5;201,08;11,53;140,14;7,39;4645,68;48,44;22,44;2,7;21282,86;135,68;28471,95;209,71;397,15;109,52;654,96;25,86;42,53;9;478,62;17,13;57,74;6,87;<LOD;0,77;49,81;6,21;283,49;23,61;183,15;19,42;157028,83;1701,08;1530,69;72,92;184330,08;915,95;4893,57;51,01;<LOD;1698,63
991;22.11.2023 12:42;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;437,8;4,57;236,58;3,38;<LOD;3,93;60,39;2,21;4,42;0,67;40,59;3,77;<LOD;1,88;6,67;3,04;<LOD;30,52;0,52;0,16;123,36;7,3;<LOD;34,71;54,1;9,19;107,36;16,46;<LOD;90,72;30594,26;176,4;325,83;34,05;<LOD;7,07;<LOD;4,08;566374,69;2485,91;43,27;1,97;122,82;2,71;<LOD;41,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;110,08;8,93;148,17;7,17;7373,97;57,79;<LOD;1,93;6893,6;66,55;9928,23;109,24;142,07;67,83;893,39;26,61;38,36;8,8;430,37;16,38;50,52;6,64;<LOD;0,74;39,48;5,85;416,82;24,83;257,93;20,03;97049,49;1190,15;2805,9;78,09;264427,44;1105,35;2071,85;34,12;<LOD;1502,49
992;22.11.2023 12:48;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;466,28;4,88;302,52;3,91;<LOD;4,17;59,37;2,28;4,52;0,7;44,2;4;<LOD;2,04;6,99;3,22;<LOD;32,32;0,43;0,16;141,11;7,87;<LOD;36,02;61,82;9,65;127,17;17,29;121,31;52,35;30094,92;180,21;452,1;38,28;<LOD;7;<LOD;4,12;574451,13;2500,24;42,9;2,02;119,02;2,75;<LOD;43,2;<LOD;1,5;<LOD;1,5;<LOD;1,5;122,58;10,17;619,19;10,33;9708,99;70,06;<LOD;2,29;8532,21;74,21;10564,4;113,81;922,45;90,6;2592,52;34,69;68,12;9,09;446,1;16,7;54,59;6,76;<LOD;0,76;36,12;5,86;446,47;25,75;263,27;20,6;93787,37;1189,7;4160,48;90,99;251341,52;1088,43;2196,93;35,2;<LOD;1532,13
993;22.11.2023 12:56;TestAll Geo;330,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;431,19;4,54;253,32;3,48;<LOD;3,97;61,85;2,25;5,08;0,69;38,71;3,72;<LOD;1,86;7,88;3,02;<LOD;29,82;0,32;0,15;140,39;7,61;<LOD;34,9;39,12;8,86;<LOD;29,47;114,1;51,06;30611,31;175,98;353,54;34,32;<LOD;6,85;<LOD;4,02;594526,13;2345;43,64;1,98;125,19;2,73;<LOD;42,29;<LOD;1,5;<LOD;1,5;<LOD;1,5;81,14;8,17;147,7;6,81;6407,57;54,84;<LOD;1,66;5365,14;55,69;7865,63;93,07;181,19;62,51;637,6;25,49;<LOD;12,93;421,46;16,46;48,45;6,68;<LOD;0,74;37,39;5,86;303,93;23,45;184,33;19,08;96557,3;1145,85;2096,24;70,27;242157,31;1067,5;1808,94;31,56;<LOD;1376,46
994;22.11.2023 13:09;TestAll Geo;330,54;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;463,41;4,78;247;3,52;<LOD;4,11;66,2;2,36;5,71;0,73;44,24;3,96;<LOD;2,07;6,35;3,18;<LOD;31,77;0,36;0,15;161,68;8,23;<LOD;35,76;54,98;9,59;97,24;17,08;138,3;55,48;34576,1;191,21;413,34;36,72;<LOD;7,21;<LOD;4,28;581036,06;2454,02;45,14;2,06;132,74;2,87;<LOD;45,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;113,36;8,35;150,84;7,41;6477,53;55,57;2,48;1,05;4359,42;51,74;7593,25;93,14;130,89;61,29;679,48;25,96;<LOD;12,65;341,13;15,91;26,58;6,5;<LOD;0,72;29,44;5,73;336,68;24,67;171,55;19,6;102350,36;1215,18;891,07;62,23;246102,41;1111,15;2454,04;36,02;<LOD;1432,2
