Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1327;01.06.2007 00:19;TestAll Geo;300,35;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;114,61;3,01;190,98;3,16;<LOD;4,92;61,4;1,32;5,3;0,73;13,29;2,24;<LOD;1,77;11,43;2,88;<LOD;32,58;0,5;0,16;107,32;7,31;<LOD;35,25;<LOD;13,98;41,51;8,37;<LOD;95,79;43511,8;213,94;616,68;40,93;189,16;12,79;116,37;16,94;4457,55;56,34;22,34;2,75;15379,04;135,83;27333,45;250,87;<LOD;209,93;513,85;24,91;40,16;9,59;473,89;18,21;70,33;7,45;<LOD;0,81;<LOD;5,94;<LOD;3,87;42,4;6,46;242,6;23,33;163,14;19,84;679729,81;2090,64;12,87;1,29;21,32;1,66;<LOD;49,29;<LOD;1,5;<LOD;1,5;<LOD;1,5;62378,25;692,67;1160,93;156,98;146213,77;796,84;2144,49;37,96;<LOD;1663,74
1328;01.06.2007 00:24;TestAll Geo;300,39;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;113,61;3,02;190,04;3,17;<LOD;4,93;62,45;1,34;5,32;0,73;13,84;2,29;<LOD;1,92;11,92;2,92;<LOD;32,16;0,35;0,15;112,23;7,46;<LOD;37,13;<LOD;14,09;43,97;8,49;<LOD;96,02;43165,45;214,23;596,5;40,71;186,58;12,61;107,1;16,58;4464,26;56,69;21,87;2,7;15031,87;133,2;26377,63;244,85;328,11;143,37;532,94;25,49;30,24;9,47;453,92;17,93;65,13;7,35;<LOD;0,82;<LOD;6,13;<LOD;4,03;37,48;6,31;250,1;23,85;160,39;20,18;677626,5;2132,5;13,2;1,3;21,58;1,68;<LOD;49,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;63045,38;707,29;1377,65;163,27;147798,06;811,55;2188,12;38,94;<LOD;1719,03
1329;01.06.2007 00:29;TestAll Geo;300,26;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;115,21;3,04;192,2;3,2;<LOD;4,95;61,72;1,33;5,14;0,73;14,81;2,32;<LOD;1,91;11,04;2,93;<LOD;31,96;0,23;0,15;110,02;7,44;<LOD;36,27;<LOD;14,14;37,37;8,45;<LOD;96,23;43030,35;214,8;614,03;41,21;175,98;12,42;118,7;16,41;4481,85;56,99;20,38;2,65;14792,83;131,56;25834,42;241,45;225,19;138,43;489,92;25,51;40,74;9,67;480,36;18,43;65,73;7,45;<LOD;0,83;<LOD;6,1;<LOD;3,95;41,69;6,49;224,03;23,8;167,97;20,49;677425,75;2152,64;12,51;1,3;21,32;1,68;<LOD;49,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;62990,68;716,23;1273,81;166,08;148587,55;823,41;2176,31;39,49;<LOD;1743,25
1330;01.06.2007 00:34;TestAll Geo;300,58;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;112,2;3,01;187,62;3,17;<LOD;4,98;61,43;1,33;4,73;0,72;15,37;2,32;<LOD;1,85;8,92;2,91;<LOD;32,34;0,31;0,15;111,25;7,47;<LOD;36,84;<LOD;14,17;38,73;8,47;<LOD;96,01;42529,23;213,38;603,8;40,96;173,28;12,09;107,45;15,98;4447,55;55,84;21,99;2,59;14548,73;127,64;25297,76;233,91;296,7;136,94;514,01;25,38;29,5;9,53;459,4;18,09;71,1;7,45;<LOD;0,82;<LOD;6,14;<LOD;3,99;41,59;6,44;258,36;23,95;164,01;20,22;680926,56;2155,83;12,5;1,29;21,33;1,67;<LOD;48,51;<LOD;1,5;<LOD;1,5;<LOD;1,5;62456,49;711,31;1339,82;166,2;146535,03;815,31;2199,02;39,61;<LOD;1775,54
1331;01.06.2007 00:39;TestAll Geo;300,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;111,39;3,06;190,12;3,24;<LOD;5,07;60,59;1,34;5,12;0,74;12,03;2,26;<LOD;1,85;12,25;2,94;<LOD;32,79;0,3;0,15;114,07;7,64;<LOD;37,68;<LOD;14,23;44,2;8,68;<LOD;96,96;42614,3;216,98;594,27;41,47;167,84;11,93;113,12;15,91;4398,05;55,89;18,35;2,53;14213,33;125,95;24967,2;231,9;200,98;132,57;498,86;25,64;45,95;9,84;505,89;18,91;70,7;7,62;<LOD;0,85;<LOD;6,09;<LOD;3,95;44,06;6,64;250,19;24,17;126,89;20,06;683792,81;2123,23;13,87;1,33;21,17;1,69;<LOD;49,78;<LOD;1,5;<LOD;1,5;<LOD;1,5;61515,91;699,88;1156,27;163,35;144616,72;812,63;2171,08;38,97;<LOD;1720,68
1332;01.06.2007 00:47;TestAll Geo;300,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;268,07;3,91;235,92;3,44;<LOD;3,96;26,02;1;3,91;0,66;28,49;2,57;<LOD;1,6;<LOD;7,45;<LOD;30,24;0,35;0,15;63,02;6,21;<LOD;32,66;53,65;9,01;<LOD;25,9;<LOD;89,05;36158,52;191,98;386,56;35,33;94,55;11,44;58,98;18,05;5686,03;56,96;<LOD;1,81;2363,95;56,1;25086,86;225,11;238,02;123,83;671,02;23,84;32;8,77;466,11;16,65;66,04;6,79;<LOD;0,75;<LOD;5,39;<LOD;3,42;43,97;5,94;324,94;22,42;222,19;18,93;681140,81;1783,88;26,22;1,49;108,15;2,4;<LOD;42,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;39845,02;479,49;827,73;129,08;193609,5;906,34;1192,87;28,35;<LOD;1401,29
1333;01.06.2007 01:01;TestAll Geo;300,43;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;282,15;3,85;214,64;3,19;<LOD;3,8;23,52;1;4,17;0,65;26,93;2,47;<LOD;1,5;<LOD;7,09;<LOD;29,4;0,38;0,14;72,69;5,99;<LOD;31,81;41,73;8,43;<LOD;25,98;<LOD;81,11;29440,13;168,39;362,29;33,39;87,33;11,54;59,36;18,26;5886,99;56,92;<LOD;1,8;2424,5;53,87;21374,28;207,18;<LOD;175,06;712,44;23,21;21,25;8,2;415,42;15,3;42,01;6,17;<LOD;0,69;<LOD;5,19;<LOD;3,18;38,9;5,49;362,91;22,02;236,45;18,41;662879,56;1826,43;27,91;1,43;80,25;2,06;<LOD;40,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;48391,57;525,13;703,68;123,67;213880;944,4;1870,93;30,93;<LOD;1363,7
1334;01.06.2007 01:11;TestAll Geo;300,47;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;314,62;4,31;226,26;3,43;<LOD;4;25,38;1;4,2;0,69;29,54;2,63;<LOD;1,59;6,01;3,26;<LOD;30,96;0,45;0,16;76,33;6,58;<LOD;35,19;45,92;9,02;36,75;8,1;<LOD;88,91;34545,29;191,02;353,66;35,45;103,35;12,26;63,72;19,1;5672,48;60,28;<LOD;1,94;2398,36;57,7;27745,06;245,69;206,88;131,55;852,53;24,44;16,58;8,26;439,49;15,62;51,69;6,31;<LOD;0,69;<LOD;5,3;<LOD;3,29;37,24;5,51;392,48;22,81;227,26;18,79;661602,38;2002,91;26,58;1,48;84,17;2,19;<LOD;43,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;44312,23;525,95;715,75;128,49;205721,98;1118,72;3513,38;41,13;<LOD;1442,17
1335;01.06.2007 01:17;TestAll Geo;300,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;321,58;4,4;224,45;3,49;<LOD;4,18;27;1;4,97;0,73;29,22;2,7;<LOD;1,78;<LOD;7,94;<LOD;34,19;0,36;0,16;77,66;6,87;<LOD;36,82;48,89;9,66;35,05;8,56;<LOD;88,76;33711,41;192,49;342,77;36,23;82,69;8,42;58,27;13,77;5318,97;54,64;<LOD;1,29;2233,25;42,97;7478,51;106,05;<LOD;506,43;786,22;27,3;73,39;9,77;492,88;18,39;66,03;7,42;<LOD;0,82;<LOD;6,24;<LOD;3,96;42,84;6,46;418,1;26,12;245,01;21,46;682326,19;1832,72;29,04;1,56;88,69;2,3;<LOD;46,12;<LOD;1,5;<LOD;1,5;<LOD;1,5;46712,73;519,51;1159,41;138;204555,56;981,77;1904,47;31,63;<LOD;1354,46
1336;01.06.2007 01:23;TestAll Geo;300,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;313,98;4,26;245,86;3,58;7,23;2,88;27,58;1;<LOD;184,52;33,82;2,77;<LOD;1,82;11,97;3,49;<LOD;32,59;0,46;0,16;84,83;6,91;<LOD;36,14;57,86;9,64;32,68;8,31;<LOD;80,58;28662,7;174,63;332,28;34,7;79,87;8,69;65,89;14,4;5662,38;57,06;<LOD;1,4;2610,45;46,71;8509,8;113,41;<LOD;540,06;703,87;26,02;<LOD;13,6;432,94;17,26;51,39;6,99;<LOD;0,77;<LOD;5,94;<LOD;3,81;44,8;6,27;344,37;24,54;226,57;20,6;688117,38;1826,55;30,82;1,55;96,47;2,34;<LOD;45,01;<LOD;1,5;<LOD;1,5;<LOD;1,5;40940,2;491,78;1300,43;145,97;206903,02;1007,73;2036,62;33,73;<LOD;1421,59
