Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
896;01.06.2007 00:05;TestAll Geo;300,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;277,68;3,92;37,04;1,62;3,91;2,43;18,8;1;4,04;0,66;20,65;2,45;<LOD;1,8;5,79;3,02;<LOD;31,75;0,33;0,15;51,81;6,25;<LOD;35,6;34,53;9,29;33;8,52;<LOD;99,77;45478,44;222,51;1761;58,45;158,38;11,11;36,9;14,79;4843,06;54,95;<LOD;2,17;5126,19;75,19;13593,41;166,43;325,77;115,13;324,36;23,76;<LOD;13,36;394,89;17,04;42,66;6,96;<LOD;0,77;<LOD;6;<LOD;3,95;28,82;5,97;220,75;23,01;155,26;19,67;674582,5;1855,8;18,69;1,37;50,26;1,83;<LOD;41,83;<LOD;1,5;<LOD;1,5;<LOD;1,5;36082,78;477,73;679,62;144,09;203279,72;950,88;747,37;27,89;<LOD;1487,24
897;01.06.2007 00:29;TestAll Geo;300,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;278,55;3,94;34,48;1,57;<LOD;3,54;18,67;1;<LOD;173,44;18,63;2,38;<LOD;1,8;5,07;2,94;<LOD;32,87;0,39;0,15;53;6,14;<LOD;35,96;36,92;9,3;35,23;8,5;<LOD;99,01;45278,12;220,84;1789,97;58,52;156,16;11,51;41,77;15,39;4894,13;57,72;<LOD;2,24;5152;78,11;13700,39;173,04;384,39;121,54;313,3;23,47;<LOD;13,31;405,92;17,04;37,12;6,86;<LOD;0,77;<LOD;6,02;<LOD;3,86;30,93;5,98;212,9;22,71;137,2;19,32;668705,69;1944,03;17,98;1,35;52,43;1,83;<LOD;42,35;<LOD;1,5;<LOD;1,5;<LOD;1,5;37849;494,45;809,64;145,23;207072,92;1095,35;736,33;27,78;<LOD;1515,71
898;01.06.2007 00:47;TestAll Geo;300,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;278,28;3,9;35,81;1,58;<LOD;3,58;18,82;1;4,64;0,67;21,5;2,45;<LOD;1,81;5,11;3,01;<LOD;31,57;0,33;0,15;61,33;6,29;<LOD;35,48;35,8;9,19;27,74;8,34;<LOD;98,48;45330,55;219,52;1833,82;58,65;163,51;11,31;34,45;15,01;4872,11;55,5;<LOD;2,22;5181,21;76,52;13930,36;170,16;218,01;113,11;318,82;23,67;<LOD;13,31;392,11;16,98;36,3;6,88;<LOD;0,77;<LOD;6;<LOD;3,95;30,06;5,99;233,04;23,1;149,05;19,55;665037,06;1901,79;17,18;1,34;50,57;1,81;<LOD;41,69;<LOD;1,5;<LOD;1,5;<LOD;1,5;38774,95;503,03;893,12;148;209696,23;965,92;743,35;28,24;<LOD;1520,57
899;01.06.2007 01:06;TestAll Geo;300,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;280,97;3,94;35,5;1,58;4,95;2,43;18,22;1;<LOD;175,58;20,08;2,42;<LOD;1,7;5,82;2,98;<LOD;31,61;0,34;0,15;56,87;6,24;<LOD;36,16;32,27;9,18;28,3;8,37;<LOD;98,91;45467,51;221,18;1814,65;58,73;152,6;11,35;44,43;15,08;4861,8;56,27;2,55;1,5;5118,15;77,25;13846,65;172,24;308,69;117,87;322,95;23,82;<LOD;13,43;403,3;17,16;36,4;6,91;<LOD;0,76;<LOD;6,05;<LOD;3,91;34,79;6,12;236,81;23,26;143,54;19,59;662562,13;1903,83;18,7;1,37;50,74;1,82;<LOD;42,9;<LOD;1,5;<LOD;1,5;<LOD;1,5;38993,56;500;946,25;146,66;211728,53;969,9;764,39;27,98;<LOD;1510,92
900;01.06.2007 01:16;TestAll Geo;300,34;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;244,82;4,03;280,18;4;<LOD;4,37;25,79;1;3,7;0,7;23,2;2,63;<LOD;2,01;8,76;3,31;<LOD;33,95;0,28;0,16;64,14;6,81;<LOD;37,29;78,07;10,78;28,47;8,83;<LOD;85,69;27151,54;178,65;591,2;41,3;55,18;8,04;64,87;12,25;3365,04;46,71;<LOD;1,61;3998,45;55,21;9613,37;119,07;<LOD;606,84;827,96;29,05;69,64;10,3;491,9;19,4;81,04;7,97;<LOD;0,87;<LOD;6,47;<LOD;4,26;35,2;6,64;419,36;27,58;255,1;22,76;760050,06;1674,2;27,4;1,58;95,53;2,43;<LOD;44,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;22895,53;379,45;2762,33;176,76;147946,28;841,41;2047,08;37,01;<LOD;1482,14
901;01.06.2007 01:24;TestAll Geo;300,39;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;244,65;3,94;268,08;3,8;<LOD;4,21;26,28;1;4,24;0,71;30,89;2,76;<LOD;1,96;7,86;3,42;<LOD;31,98;0,36;0,16;70,71;6,73;<LOD;36,18;79,86;10,31;24,62;8,39;<LOD;80,81;27547,55;174,59;553,71;39,54;56,76;8,79;64,3;13,56;3871,3;52,15;<LOD;1,76;4314,24;60,78;11296,01;134,56;<LOD;128,98;788,14;27,55;65,35;9,82;490,39;18,54;62,77;7,45;<LOD;0,82;<LOD;6,27;<LOD;4,15;43,44;6,54;372,93;25,83;240,15;21,58;741951,5;1675,3;26,29;1,53;92,46;2,34;<LOD;44,64;<LOD;1,5;<LOD;1,5;<LOD;1,5;25321,57;387,58;2614,83;165,26;162548,34;876,39;1767,11;33,93;<LOD;1446,19
902;01.06.2007 01:33;TestAll Geo;300,27;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;260,41;4,31;281,33;4,14;<LOD;4,6;27,79;1,05;4,67;0,76;27,07;2,82;<LOD;2,13;10,76;3,59;<LOD;35,34;0,47;0,17;75,79;7,35;<LOD;40,73;102,64;11,88;23,33;9,28;<LOD;91,65;30060,61;194,05;571,69;42,86;64,66;7,66;59,13;11,73;3359,8;44,97;1,86;1;3632,81;51,3;9356,5;113,94;<LOD;658,23;811,22;30,56;46,63;10,52;468,35;19,84;65,07;8,06;<LOD;0,89;<LOD;7;<LOD;4,57;31,48;6,78;380,19;28,64;225,97;23,69;731832,81;1865,31;27,72;1,65;94,53;2,51;<LOD;49,46;<LOD;1,5;<LOD;1,5;<LOD;1,5;26320,36;426,76;2425,6;185,85;168245,45;934,52;2190,67;39,8;<LOD;1630,47
903;01.06.2007 01:46;TestAll Geo;300;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;253,88;3,9;288,49;3,81;<LOD;4,21;28,61;1;4,16;0,68;27,89;2,58;<LOD;1,72;8,79;3,23;<LOD;31,19;0,31;0,15;64,82;6,35;<LOD;34,97;122,12;10,63;<LOD;27,62;<LOD;83,81;30199,74;176,89;440,91;36,5;88,18;10,61;85,43;16,73;5953,29;60,28;<LOD;2;4240,68;72,8;22875,29;206,99;205,87;114,24;810,92;26,59;39,98;8,96;460,97;16,9;54,02;6,78;<LOD;0,75;<LOD;5,9;<LOD;3,69;37,24;5,9;397,83;25,08;234,1;20,67;699673,06;1828,55;26,76;1,49;94,99;2,3;<LOD;43,91;<LOD;1,5;<LOD;1,5;<LOD;1,5;35625,77;473,62;1434,9;151,8;179590;889,64;2132,34;36,08;<LOD;1512,89
904;01.06.2007 02:06;TestAll Geo;300,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;252,95;3,98;290,26;3,9;<LOD;4,23;28,12;1;4,4;0,71;31,5;2,72;<LOD;1,77;7,54;3,38;<LOD;31,22;0,3;0,15;71,55;6,62;<LOD;35,15;123,95;10,88;38,55;8,35;<LOD;86,44;31856,45;185,27;608,22;40,3;99,94;10,87;75,22;16,7;5621,51;58,76;<LOD;2,12;4794,58;77,27;23404,58;211,24;<LOD;168,95;837,25;26,77;47,51;9,04;473,62;17,09;62,29;6,9;<LOD;0,77;<LOD;5,9;<LOD;3,83;34,54;5,88;390,46;25,02;244,53;20,81;700820,38;1840,15;27,52;1,53;91,61;2,31;<LOD;45,33;<LOD;1,5;<LOD;1,5;<LOD;1,5;32816,87;456,06;2319,46;160,34;177534,2;887,03;2618,05;38,56;<LOD;1532,02
905;01.06.2007 02:13;TestAll Geo;300,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;260,14;3,88;265,55;3,66;<LOD;4,11;27,2;1;3,94;0,67;27;2,56;<LOD;1,71;7,03;3,15;<LOD;30,82;0,42;0,15;55,78;6,13;<LOD;33,26;92,43;10,04;<LOD;27,05;<LOD;84,29;31065,53;179,18;641,01;39,87;84,17;10,52;81,29;16,39;5519,73;57,62;<LOD;2,02;4422,48;73,08;21374,43;200,09;<LOD;167,37;718,77;25,9;17,22;8,96;471,08;17,18;53,76;6,87;<LOD;0,76;<LOD;5,82;<LOD;3,73;35,07;5,93;340,88;24,28;199,16;20,13;705849,38;1793,56;27,35;1,48;86,73;2,21;<LOD;43,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;31268,32;442,11;2267,43;160,69;177520,8;879,76;2894,62;39,88;<LOD;1511,63
