Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1816;05.04.2024 09:51;TestAll Geo;330,52;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;105,26;2,74;199,77;3,11;<LOD;4,85;158,29;3,25;5,75;0,73;31,79;3,55;<LOD;1,91;9,52;2,92;<LOD;30,41;0,33;0,15;147,39;7,82;<LOD;34,64;29,64;8,64;127,83;16,6;<LOD;100,07;42695,47;207,68;629,52;40,33;203,81;11,63;135,93;7,37;4586,63;48,37;22,65;2,7;20706,34;135,36;29432,71;214,67;414,94;111,13;650,95;25,67;31,81;8,89;465,74;16,91;61,59;6,86;<LOD;0,76;<LOD;7,03;<LOD;4,05;41,16;5,98;264,72;23,26;189,92;19,37;544901,13;2972,94;15,81;1,6;24,23;1,87;<LOD;48,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;153464,17;1692,59;1545,14;74,71;180206,19;911,57;8624,8;68,53;<LOD;1722,86
1817;05.04.2024 10:08;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;320,17;4,21;204,06;3,31;<LOD;4,63;105,11;2,91;8,16;0,82;25,24;3,59;<LOD;2,23;<LOD;4,28;<LOD;33,11;0,37;0,16;53,09;6,27;<LOD;37,11;<LOD;14,64;69,29;17,33;114,07;64,11;44454,55;222,73;661,03;43,41;108,4;8,96;243,31;8,43;5936,02;62,59;<LOD;2,65;13038,62;92,6;16569,47;141,73;1426,57;106,47;1735,73;33,25;20,43;9,49;445,26;17,91;54,79;7,24;<LOD;0,8;<LOD;7,48;<LOD;4,55;34,89;6,27;336,44;26,29;196,06;21,27;685715,44;2130,62;30,43;1,85;27,7;1,88;<LOD;51,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;47862,6;921,76;1923,74;84,93;152453,13;864,72;11256,44;81,62;<LOD;1635,14
1818;05.04.2024 10:16;TestAll Geo;330,15;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;319,95;4,32;217,74;3,5;<LOD;4,83;114,54;3,1;8,13;0,84;28,19;3,77;<LOD;2,29;4,64;3;<LOD;33,76;0,27;0,16;58,45;6,66;<LOD;37,85;<LOD;14,09;75,88;18,23;<LOD;106,6;52550,57;247,98;752,2;46,67;129,68;9,23;249,3;9,14;6387,1;65,04;<LOD;2,17;7622,19;75,71;17749,02;149,1;400,24;84,74;1388,14;32,29;<LOD;14,21;380,2;17,75;32,1;7,18;<LOD;0,81;<LOD;7,74;<LOD;4,71;29,94;6,3;296,51;26,09;182,21;21,28;598700,31;2501,5;34,42;1,95;30,8;1,99;<LOD;53,93;<LOD;1,5;<LOD;1,5;<LOD;1,5;78731,1;1156,09;1518,26;74,93;214322,31;1031,66;3687,15;45,43;<LOD;1684,55
1819;05.04.2024 10:55;TestAll Geo;330,18;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;308,61;4,34;191,64;3,38;<LOD;4,88;102;3,04;8,42;0,87;28,47;3,86;<LOD;2,4;<LOD;6,77;<LOD;36;0,72;0,18;71,19;7,01;<LOD;39,98;15,98;9,86;112,16;19,16;<LOD;94,91;39582,02;220,88;615,54;44,39;93,48;7,69;184,16;8,3;5692,66;52,81;2,49;1,02;4036,43;52,01;12473,67;115,4;315,2;69,19;1653,29;35,17;95,82;10,56;481,86;19,55;70,7;7,94;<LOD;0,88;<LOD;8,19;<LOD;4,96;36,46;6,77;428,88;29,62;265,9;23,93;640463,5;2378,82;33,27;1,98;30,39;2,01;<LOD;54,45;<LOD;1,5;<LOD;1,5;<LOD;1,5;77490,1;1112,79;1982,01;79,05;196021,66;1036,84;1198,58;32,47;<LOD;1540,47
1820;05.04.2024 12:16;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;354,77;4,58;195,42;3,4;<LOD;4,82;107,03;3,08;8,49;0,87;26,1;3,79;<LOD;2,39;6,33;3,06;<LOD;34,89;0,36;0,17;59,06;6,73;<LOD;39,63;16,78;9,8;69,24;18,55;<LOD;98,08;42257,53;227,54;569,73;43,58;90,74;7,56;166,89;8,02;5741,68;52,19;<LOD;1,59;4920,46;55,41;12566,1;114,3;995,63;84,3;1366,38;33,5;63,98;10,36;478,27;19,44;69,4;7,9;<LOD;0,86;<LOD;8,23;<LOD;4,94;34,2;6,69;382,74;28,86;233,09;23,36;669674,63;2239;34,11;2;36,34;2,09;<LOD;54,77;<LOD;1,5;<LOD;1,5;<LOD;1,5;62750,64;1000,34;1845,57;80,65;178205,05;975,83;1001,48;31,79;<LOD;1577,03
1821;05.04.2024 12:56;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;372,68;4,37;212,02;3,29;<LOD;4,69;112,13;2,95;9,13;0,83;28,92;3,63;<LOD;2,11;4,95;2,88;<LOD;31,92;0,37;0,16;58,67;6,22;<LOD;34,84;<LOD;14,46;91,72;16,92;138,34;63,37;45363,82;219,78;720,93;43,54;152,78;10,63;177,59;8,33;8769,16;68,48;<LOD;2,63;10033,39;91,35;18233,16;162,29;3611,39;158,53;1511,23;30,3;72,69;9,18;482,94;17,2;59,33;6,89;<LOD;0,77;<LOD;7,12;<LOD;4,21;38,25;5,98;399,17;25,47;244,99;20,6;587298,25;2506,98;35,59;1,88;34,13;1,94;<LOD;52,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;95336,79;1235,16;2681,65;88,67;216594,64;1014,82;890,98;29,14;<LOD;1549,8
1822;05.04.2024 13:30;TestAll Geo;330,58;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;352,37;4,22;175,69;3;<LOD;4,29;90,03;2,67;7,72;0,78;29,46;3,58;<LOD;2,04;<LOD;6,04;<LOD;32,28;0,47;0,16;46,09;5,81;<LOD;35,6;<LOD;14,64;112,94;16,98;<LOD;99,66;38666,09;201,76;563,93;40,07;114,22;9,79;363,2;9,11;8788,76;66,75;<LOD;1,74;3969,79;58,09;15109,31;137,8;409,65;83,03;2475,06;34,37;36,46;8,98;440,17;16,74;49,32;6,74;<LOD;0,75;<LOD;7,12;<LOD;4,16;35,63;5,89;316,43;24,86;192,22;20,26;559431,69;2533,16;28,11;1,76;28,73;1,81;<LOD;48,61;<LOD;1,5;<LOD;1,5;<LOD;1,5;103743,95;1242,8;2279,6;73,35;253753,19;1092,36;644,86;25,87;<LOD;1461,63
1823;05.04.2024 13:37;TestAll Geo;330,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;345,41;4,32;156,44;2,95;<LOD;4,52;94,88;2,8;7,04;0,79;23,67;3,55;<LOD;2,16;<LOD;4,21;<LOD;34,09;0,24;0,15;46,1;6,01;<LOD;36,58;<LOD;15,22;132,15;17,82;<LOD;103,02;38711,89;209,37;683,38;43,8;121,58;9,42;165,8;7,61;7627,04;61,75;1,9;1,13;3954,38;58,66;15717,9;141,43;222,14;78,5;1436,96;29,64;89,17;9,16;487,73;17,06;66,14;6,87;<LOD;0,75;<LOD;7,19;<LOD;4,2;38,09;5,91;412,8;26,16;253,63;21,15;577511,63;2473,34;30,14;1,85;30,39;1,9;<LOD;49,71;<LOD;1,5;<LOD;1,5;<LOD;1,5;100113,08;1197,45;1798,08;66,83;241415,67;1087,89;723,33;25,43;<LOD;1398,25
1824;05.04.2024 13:50;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;411,14;4,6;185,02;3,14;6,54;3,16;107,03;2,92;7,74;0,8;29,3;3,67;<LOD;2,05;<LOD;6,13;<LOD;32,63;0,55;0,16;36,01;5,69;<LOD;36,08;<LOD;14,52;134,54;17,38;<LOD;102,86;40660,52;211,42;522,6;40,7;169,61;11,22;186,36;8,27;9164,04;70,12;2,31;1,43;5498,42;75,17;23258,67;183,91;201,47;92,69;1523,86;28,28;65,51;8,5;437,75;15,66;51,87;6,32;<LOD;0,7;<LOD;6,76;<LOD;3,91;37,62;5,54;443,38;24,98;281,49;20,2;519461,28;2655,58;29,89;1,84;29,5;1,91;<LOD;51,01;<LOD;1,5;<LOD;1,5;<LOD;1,5;110054,73;1289,65;4233,01;85,37;277167,75;1159,31;1136,18;27,54;<LOD;1481,44
1825;05.04.2024 13:57;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;345,09;4,41;262,16;3,75;5,22;3,31;116,14;3,06;7,54;0,82;29,53;3,74;<LOD;2,24;6,07;3,01;<LOD;33,13;0,5;0,17;88,04;7,11;<LOD;36,64;<LOD;15,54;99,53;17,84;<LOD;95,71;44030,03;223,28;780,89;45,77;127,99;8,88;233,57;8,55;7255,13;64,16;<LOD;1,93;6347,19;66,51;15426,66;133,6;318,45;77,04;1865,34;34,15;54,49;9,74;468,89;18,27;51,88;7,29;<LOD;0,81;<LOD;7,65;<LOD;4,46;36,36;6,35;381,96;27,21;225,24;21,94;587478,5;2590,56;32,77;1,9;34,25;2,01;<LOD;52,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;96694,04;1271,51;4931,59;99,97;218913,09;1061,56;1032,82;30,89;<LOD;1644,08
