Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
2380;25.07.2024 20:02;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;190053,91;930,6;4648,56;57,96;171385,45;1834,14;43267,91;206,54;645,26;40,15;<LOD;1779,36;22491,88;174,83;30394,19;271,08;1714,51;77,48;470,71;141,65;134,06;9,1;201,64;14,51;125,42;16,22;28,2;8,47;158,37;7,92;203,24;3,1;161,76;3,23;16,65;1,59;108,87;2,73;25,13;1,86;29,47;3,45;4,94;0,7;5,49;3,32;<LOD;1,5;<LOD;1,93;11,9;2,89;<LOD;30,3;0,33;0,15;<LOD;33,84;<LOD;98,66;28,51;3,52;667,46;20,94;35,19;7,24;460,55;13,71;61,98;5,58;<LOD;0,62;<LOD;5,49;<LOD;3,1;42,21;4,88;267,59;18,69;174,79;15,4;<LOD;46,4;<LOD;1,5;<LOD;1,5;<LOD;1,5;9572,43;72,99;513287,34;3159,55
2379;25.07.2024 19:55;TestAll Geo;330,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;254063,17;1087,24;5581,17;54,6;123435,09;1241,93;31096,64;174,02;627,01;38,4;<LOD;1191,7;1810,09;57,12;15890,82;188,36;192,23;42,38;156,06;82,6;129,19;7,57;104,81;13,51;101,45;15,16;<LOD;12,51;19,24;4,62;58,72;1,79;60,86;2,2;27,18;1,66;403,62;4,19;30,16;1,67;24,81;3,26;6,74;0,7;<LOD;3,56;<LOD;1,5;<LOD;1,63;7,24;2,66;<LOD;29,58;0,38;0,14;<LOD;30,86;<LOD;88,93;<LOD;1,77;635,52;17,47;<LOD;8,88;404,42;11,19;34,78;4,49;<LOD;0,5;<LOD;4,55;<LOD;2,46;36,41;4,01;296,01;16,36;191,27;13,41;<LOD;43,26;<LOD;1,5;<LOD;1,5;<LOD;1,5;666,96;22,33;560080,75;2391,6
2378;25.07.2024 19:49;TestAll Geo;330,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;249883,69;1100,95;5120,34;50,78;110400,52;1178,68;25042,87;156,84;554,07;36,93;<LOD;1230,78;1360,92;47,73;12972,8;149,7;<LOD;65,13;<LOD;132,02;101,4;6,99;85,46;10,86;116,25;15,6;<LOD;13,18;17,73;4,51;55,74;1,75;53,31;2,07;23,8;1,62;359,26;3,99;27,89;1,62;21,05;3,14;5,17;0,65;<LOD;3,44;<LOD;1,5;<LOD;1,71;<LOD;5,76;<LOD;30,21;0,42;0,15;<LOD;31,48;<LOD;83,45;1,66;0,92;914,57;20,24;64,53;6,76;467,1;12,64;63,26;5,13;<LOD;0,57;<LOD;5;<LOD;2,78;35,92;4,39;356,37;18,28;227,84;14,89;<LOD;39,35;<LOD;1,5;<LOD;1,5;<LOD;1,5;412,46;22,22;585951,19;2323,88
2377;25.07.2024 19:40;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;257081,89;1102,65;5842,7;56,56;102846,76;1207,95;28706,88;169,24;398,07;34,61;<LOD;1397,01;4880,01;68,2;13441,26;144,24;406,93;56,05;<LOD;155,15;133,47;7,81;70,05;9,67;<LOD;28,72;<LOD;13,99;36,67;5,21;155,65;2,76;61,64;2,22;27,89;1,69;357,42;4,1;33,98;1,74;22,27;3,23;5,48;0,68;<LOD;3,85;<LOD;1,5;<LOD;1,85;4,76;2,6;<LOD;30,71;0,4;0,15;<LOD;32,52;<LOD;73,16;2,79;1,32;828,43;22,05;28,54;7,36;468,81;14,03;56,34;5,64;<LOD;0,62;<LOD;5,53;<LOD;3,07;39,3;4,93;287,64;19,15;182,34;15,69;<LOD;41,83;<LOD;1,5;<LOD;1,5;<LOD;1,5;491,99;25,7;573366,94;2436,77
2376;25.07.2024 18:57;TestAll Geo;330,15;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;247132,53;1177,51;4039,28;50,51;96046,34;1215,95;31538,73;187,94;483,27;38,77;<LOD;1502,48;4115,93;57,8;11030,2;121,93;<LOD;88,73;<LOD;173,57;130,93;8,01;65,74;8,3;44,63;16,76;<LOD;13,59;33,68;5,58;165,32;3;61,22;2,37;28,39;1,81;385,45;4,49;35,66;1,88;42,59;4;6,13;0,76;<LOD;4,05;<LOD;1,5;<LOD;2,12;<LOD;6,8;<LOD;33,34;0,48;0,16;<LOD;36,94;<LOD;95,25;2,42;1,12;572,57;21,9;<LOD;11,17;374,23;14,03;38,29;5,74;<LOD;0,63;<LOD;6,17;<LOD;3,6;29,59;4,98;295,25;20,95;178,8;17,06;<LOD;46,5;<LOD;1,5;<LOD;1,5;<LOD;1,5;695,5;29,29;587127,5;2506,5
2375;25.07.2024 18:50;TestAll Geo;330,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;274924,75;1230,74;4156,35;52,25;115930,59;1424,61;34014,08;199,02;295,71;35,52;<LOD;1670,72;3943,76;58,69;11423,93;127,45;198,57;65;<LOD;186,25;136,31;8,84;69,58;8,5;65,4;17,77;<LOD;13,98;43,15;6,01;152,14;2,95;66,19;2,47;30,3;1,87;372,74;4,51;32,97;1,89;22,18;3,5;6,05;0,75;4,62;2,84;<LOD;1,5;<LOD;2,18;6,89;2,88;<LOD;35;<LOD;0,23;<LOD;38,37;<LOD;85,37;2,68;1,14;333,92;21,15;<LOD;10,86;303;13,78;10,21;5,61;<LOD;0,63;<LOD;6,25;<LOD;3,65;28,12;5,06;212,44;20,13;119,22;16,44;<LOD;46,43;<LOD;1,5;<LOD;1,5;<LOD;1,5;630,25;31,15;534895,5;2848,75
2374;25.07.2024 18:36;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;296743,69;1169,76;5017,38;50,55;86818,66;1044,24;26635,67;161,99;443,05;34,89;<LOD;1297,89;3516,02;70,62;18361,33;186,01;227,76;46,1;183,92;91,12;84,81;6,93;85,81;11,84;<LOD;26,78;<LOD;12,94;25,56;4,79;81,26;2,05;58,44;2,11;20,11;1,57;397,48;4,19;25,17;1,6;16,18;3,01;3,71;0,61;<LOD;3,55;<LOD;1,5;<LOD;1,73;<LOD;4,91;<LOD;29,98;0,41;0,15;<LOD;31,39;<LOD;85,04;<LOD;1,96;505,23;17,84;45,44;6,43;458,75;12,12;63,49;4,94;<LOD;0,54;<LOD;4,77;<LOD;2,61;40;4,28;309,98;17,06;183,38;13,84;<LOD;37,25;<LOD;1,5;<LOD;1,5;<LOD;1,5;403,56;22,26;555405,31;2283,37
2373;25.07.2024 18:28;TestAll Geo;330,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;319637,09;1242,48;4495,08;46,58;82020;1006,18;20195,14;139,44;436,11;33,82;<LOD;1274,18;2846,35;60,41;15069,44;160,25;126,78;45,81;<LOD;134,99;73,89;6,48;45,43;10,66;<LOD;26,48;<LOD;12,53;26,06;4,61;69,12;1,89;50,12;1,97;18,34;1,52;418,04;4,22;21,29;1,5;12,88;2,86;3,95;0,6;<LOD;3,4;<LOD;1,5;<LOD;1,63;<LOD;5,07;<LOD;29,36;0,44;0,14;<LOD;30,24;<LOD;76,36;<LOD;1,67;515,05;17,86;41,54;6,41;443,58;12,01;57,52;4,89;<LOD;0,54;<LOD;4,82;<LOD;2,66;37,76;4,24;334,13;17,45;209,32;14,21;<LOD;36,75;<LOD;1,5;<LOD;1,5;<LOD;1,5;474,02;22,74;547360,94;2263,04
2372;25.07.2024 17:59;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;337472,72;1274,81;4727,61;47,77;97203,89;1122,47;21072,56;142,94;520,26;35,52;<LOD;1325,74;3681,91;70,74;18738,63;184,59;417,72;47,7;<LOD;135,02;92,44;6,68;68,43;11,78;<LOD;27,46;<LOD;12,45;22,99;4,55;69,96;1,91;50,45;1,98;19,71;1,56;395,83;4,14;37;1,72;13,84;2,89;3,65;0,6;<LOD;3,51;<LOD;1,5;<LOD;1,61;<LOD;5,09;<LOD;29,55;0,54;0,15;<LOD;30,77;<LOD;77,94;<LOD;1,94;534,25;17,16;38,26;6,11;443,32;11,48;52,41;4,63;<LOD;0,51;<LOD;4,64;<LOD;2,53;35,32;4,01;334,77;16,92;217,64;13,85;<LOD;36,7;<LOD;1,5;<LOD;1,5;<LOD;1,5;457,36;22,29;509917,56;2430,1
2371;25.07.2024 17:50;TestAll Geo;330,09;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;298337,16;1206,26;7370,52;68,66;122210,31;1395,46;34477,11;189;485;37,7;<LOD;1566,82;4772,55;82,64;18276,81;195,81;477,22;56,73;427,17;112,15;188,61;9,46;146,89;13,17;94,46;16,04;<LOD;13,91;47,76;5,69;134,35;2,63;69,74;2,36;31,83;1,78;368,79;4,22;36,79;1,84;25,55;3,39;5,38;0,69;4,25;2,68;<LOD;1,5;<LOD;1,84;6,29;2,75;<LOD;31,75;0,46;0,15;<LOD;33,69;<LOD;94,93;<LOD;2,37;1233,57;21,82;38,8;6,78;436,21;12,66;50,66;5,11;<LOD;0,56;<LOD;5,19;<LOD;2,94;35,61;4,45;374,32;19,21;218,27;15,45;<LOD;43,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;1218,03;29,95;502640,22;2763,13
2370;25.07.2024 17:43;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;291992,66;1192,63;6903,17;66,05;122832,81;1378,63;37612,56;199,37;479,39;38,6;<LOD;1499,47;4689,76;81,91;17881,02;193,86;609,23;55,67;<LOD;154,21;204,38;9,45;183,86;13,57;90,73;16,34;<LOD;14,17;45,93;5,76;138,75;2,7;67,86;2,38;30,19;1,78;371,61;4,28;38,82;1,88;29,1;3,54;5,92;0,72;<LOD;4,03;<LOD;1,5;<LOD;1,95;<LOD;6,04;<LOD;32,25;0,45;0,16;<LOD;34,21;<LOD;99,46;<LOD;2,37;1273,71;22,29;60,93;6,97;459,45;13;56,28;5,24;<LOD;0,58;<LOD;5,3;<LOD;2,97;39,27;4,58;379,05;19,47;240,47;15,82;<LOD;44,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;892,75;27,29;506816,63;2724,22
2369;25.07.2024 17:18;TestAll Geo;330,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;294879,44;1189,52;7461,02;68,18;124031,34;1383,05;38809,3;201,12;510,99;38,89;<LOD;1518,63;4946,07;86,5;20021,08;208,58;665,03;54,93;309,86;110,18;237,24;9,64;177,27;14,14;<LOD;28,6;<LOD;13,56;52;5,85;159,17;2,85;73,91;2,44;32,55;1,81;388,92;4,35;43,29;1,94;29,95;3,56;6,4;0,73;6,67;2,8;<LOD;1,5;<LOD;1,91;5,89;2,86;<LOD;31,05;0,47;0,16;<LOD;33,03;<LOD;98,77;<LOD;2,5;1300,5;21,75;43,77;6,71;455,06;12,59;54,98;5,07;<LOD;0,56;<LOD;5,07;<LOD;2,79;39,37;4,45;379,74;18,86;232,51;15,25;<LOD;45,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;640,85;25,45;500751,72;2737,22
2368;25.07.2024 17:12;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;278178,94;1159,78;6763,34;64,64;121964,63;1344,69;35152,55;191,62;422,02;36,9;<LOD;1457,78;5258,98;85,83;18292,29;196,43;626,45;54,15;180,77;104,26;200,08;9,19;154,54;13,36;<LOD;28,65;31,52;8,54;48,11;5,74;147,2;2,75;67,91;2,36;32,14;1,79;376,62;4,29;39,22;1,87;28,12;3,5;5,8;0,71;4,99;2,71;<LOD;1,5;<LOD;1,9;<LOD;5,78;<LOD;32;0,42;0,15;<LOD;33,71;<LOD;96,67;<LOD;2,48;1211,85;21,48;41,5;6,71;434,05;12,49;49,01;5,04;<LOD;0,56;<LOD;5,12;<LOD;2,89;36,11;4,41;378,39;19,01;230,07;15,35;<LOD;43,91;<LOD;1,5;<LOD;1,5;<LOD;1,5;704,27;25,44;523989,25;2652,48
2367;25.07.2024 17:03;TestAll Geo;330,58;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;251008,89;1058,21;5912,72;59,06;102856,12;1220,94;41575,79;205,37;473,27;37,48;<LOD;1462,57;3278,37;66,74;17744,54;178,33;636,15;57,77;<LOD;133,11;185,22;8,73;116;11,28;<LOD;28,51;<LOD;14,3;26,47;5,2;149,1;2,73;47,64;2,06;27,06;1,7;304,57;3,88;33,81;1,72;25,33;3,34;5,81;0,69;<LOD;3,59;<LOD;1,5;<LOD;1,88;4,93;2,69;<LOD;30,84;0,34;0,15;<LOD;33,77;<LOD;99,98;2,76;1,28;1073,15;21,89;<LOD;9,65;324,18;12,28;12,23;4,96;<LOD;0,56;<LOD;5,39;<LOD;3,06;26,22;4,42;216,69;18,18;135,13;14,98;<LOD;43,07;<LOD;1,5;<LOD;1,5;<LOD;1,5;1038,26;28,61;564323,44;2471,07
2366;25.07.2024 16:56;TestAll Geo;330,59;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;261222,31;1100,87;5701,96;57,83;101539,8;1216,82;32135,08;180,69;499,01;37,19;<LOD;1467,41;3719,51;66,67;15236,09;162,66;568,49;57,94;<LOD;125,71;163,32;8,43;103,04;10,79;93,09;16,1;<LOD;14,19;28,34;5,08;126,57;2,53;36,22;1,87;24,28;1,65;264,25;3,64;26,83;1,59;23,27;3,26;5,17;0,66;<LOD;3,42;<LOD;1,5;<LOD;1,84;<LOD;5,52;<LOD;31,53;0,35;0,15;<LOD;33,36;<LOD;77,83;<LOD;1,91;1563,91;24,64;35,6;7,25;432,94;13,52;49,3;5,46;<LOD;0,61;<LOD;5,55;<LOD;3,21;40,25;4,85;323,98;19,73;207,92;16,14;<LOD;40,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;746,45;27,38;565672,13;2485,19
2365;25.07.2024 16:47;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;247696,27;1035,11;5369,45;54,82;95089,17;1104,51;31494,29;172,27;380,76;33,42;<LOD;1316,28;3931,18;69,47;15180,55;165,92;295,51;50,4;<LOD;129,21;146,77;8,05;97,17;11,12;89,5;15,27;<LOD;13,21;20,8;4,65;133,77;2,5;39,81;1,86;24,21;1,59;301,61;3,7;28,14;1,56;21,37;3,09;5,51;0,65;<LOD;3,36;<LOD;1,5;<LOD;1,66;<LOD;5,17;<LOD;29,97;<LOD;0,2;<LOD;31,5;<LOD;88,63;<LOD;2;1344,72;22,95;<LOD;10,18;407,66;12,87;42,08;5,22;<LOD;0,58;<LOD;5,22;<LOD;2,94;31,69;4,53;235,08;17,81;137,51;14,58;<LOD;39,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;597,93;24,24;589052;2271,47
2364;25.07.2024 16:32;TestAll Geo;330,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;319847,09;1291,63;5471,6;66,49;131383,23;1527,71;37668,04;201,28;408,54;36,76;<LOD;1664,27;3745,07;63,62;10351,45;135,77;436,08;63,05;127,36;81,12;165,62;9,6;99,31;10,49;88,17;17,13;<LOD;14,87;46,38;5,85;159,82;2,9;81,2;2,57;32,62;1,84;459,85;4,75;40,33;1,95;26,1;3,52;6,48;0,75;4,82;2,87;<LOD;1,5;<LOD;2,06;5,62;2,83;<LOD;32,73;<LOD;0,22;<LOD;35,22;<LOD;86,48;1,95;1,26;452,51;20,63;<LOD;10,15;295,13;12,98;<LOD;7,86;<LOD;0,59;<LOD;5,71;<LOD;3,32;33,61;4,88;194,12;18,54;124,81;15,34;<LOD;46,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;1160,31;32,19;474554,81;2975,86
