Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error;Ru;Ru Error
123;25.09.2023 12:34;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;404,82;4,45;216,03;3,27;<LOD;4,02;65,36;2,31;4,96;0,69;35,6;3,67;<LOD;1,76;7,07;2,97;<LOD;31,04;0,41;0,15;88,42;6,68;<LOD;33,89;65,82;9,19;89,94;15,88;<LOD;95,59;35012,77;190,45;327,56;34,94;155,4;10,7;157,07;6,78;7239,94;55,33;<LOD;1,66;3534,79;55,35;10920,12;122,16;323,39;80,51;845,63;23,71;20,55;7,84;440,15;14,79;50,77;5,97;<LOD;0,66;<LOD;6,27;<LOD;3,58;42,31;5,31;422,08;22,76;242,5;18,17;557338,63;2418,63;39,7;1,94;103,35;2,57;<LOD;42,92;<LOD;1,5;<LOD;1,5;<LOD;1,5;114350,52;1214;760,88;51,85;260451,53;1107,12;2703,82;33,62;<LOD;1266,26;;
124;25.09.2023 13:04;TestAll Geo;330,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;379,76;4,9;257,45;3,98;<LOD;4,72;73,27;2,72;<LOD;206,43;61,66;4,85;<LOD;2,64;<LOD;8,34;<LOD;39,16;<LOD;0,26;102,19;7,97;<LOD;43,3;56,17;11,34;38,31;19,02;<LOD;88,45;32150,4;204,47;330,36;38,76;75,73;5,64;149,85;7,09;4505,71;36,93;<LOD;0,85;1816,52;28,33;6162,63;66,85;296,28;47,44;467,03;28,82;<LOD;14,62;349,93;18,62;25,39;7,57;<LOD;0,84;<LOD;8,74;<LOD;5,29;28,55;6,65;287,85;28,21;164,52;22,85;585328,31;2753,39;37,6;2,27;180,88;3,68;<LOD;50,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;97494,08;1314,95;<LOD;106,46;247939,13;1230,18;4583,9;53,8;<LOD;1711,08;;
125;25.09.2023 13:16;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;390,35;4,7;228,25;3,59;4,69;2,97;67,97;2,5;4,45;0,73;42,6;4,16;<LOD;2,44;6,6;3,34;<LOD;36,01;0,41;0,17;105,76;7,58;<LOD;39,72;66,38;10,7;100,42;18,44;84,06;53,74;29055,91;185,71;367,49;37,67;56,76;5,94;130,81;6,34;4382,24;38,57;<LOD;0,94;2105,31;32,23;7128,96;75,47;301,93;51,33;1240,01;32,82;93,89;10,51;496,05;19,59;83,82;8,06;<LOD;0,88;<LOD;8,15;<LOD;4,88;41,19;6,84;442,09;29,07;256,82;23,23;632281,5;2354,6;36,75;2,07;123,76;2,96;<LOD;45,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;86840,01;1128,62;180,26;63,41;215680,69;1086,17;4508,71;48,61;<LOD;1433,82;;
126;25.09.2023 13:53;TestAll Geo;330,54;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;319,6;4,4;642,95;5,53;<LOD;4,55;56,61;2,34;5,56;0,89;298,37;8,02;<LOD;2,12;<LOD;12,71;<LOD;32,37;0,28;0,16;66,42;6,18;<LOD;34,02;269,97;12,8;106,28;16,05;<LOD;82,76;23449,26;156,29;418,49;35,97;134,01;10,84;223,32;7,45;8246,72;62,5;3,13;1,53;8266,17;76,84;13001,29;128,98;577,05;87,06;1993,94;28,25;33,58;7,8;427,85;14,48;43,15;5,8;<LOD;0,64;<LOD;6,3;<LOD;3,56;30,19;5;448,06;23,77;256,07;18,95;529294,44;2688,34;33,31;1,95;116,91;2,79;<LOD;52,81;<LOD;1,5;<LOD;1,5;<LOD;1,5;123238,09;1344,18;4203,69;85,14;277663,72;1218,12;2212,67;33,23;<LOD;1401,26;;
127;25.09.2023 14:30;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;318,07;4,43;529,85;5,17;<LOD;4,41;51,75;2,31;4,95;0,93;369,31;9,05;<LOD;2,26;<LOD;14,59;<LOD;33,4;0,5;0,17;55,76;6,16;<LOD;36,11;241,72;13,05;53,64;16,54;103,19;48,05;24709,82;165;652,04;41,34;83,37;7,51;250,64;7,18;5201,46;49,89;3,01;1,03;5316,66;50,6;7961,02;85,21;715,57;68,3;1919,91;34,03;72,61;9,72;496,47;18,26;65,1;7,34;<LOD;0,81;<LOD;7,54;<LOD;4,38;41,8;6,39;377,49;26,52;227,12;21,43;644634,19;2279,52;32,36;1,99;114,69;2,86;<LOD;54,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;74940,18;1047,39;3154,22;87,05;212718,09;1096,18;3377,54;42,92;<LOD;1440,74;;
128;25.09.2023 14:46;TestAll Geo;330,57;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;317,42;4,39;642,4;5,53;<LOD;4,55;53,86;2,31;5,89;0,89;292,84;7,95;<LOD;2,03;<LOD;12,77;<LOD;31,09;0,43;0,16;67,69;6,2;<LOD;33,67;282,52;12,99;<LOD;28,21;104,96;44,81;22565,3;153,37;420,66;35,84;103,58;9,74;233,71;7,16;7854,08;59,5;2,51;1,38;7616,16;69,3;11448,21;114,67;551,39;79,24;1940,2;28,74;27,89;7,97;426,45;14,83;49,74;6;<LOD;0,65;<LOD;6,38;<LOD;3,67;32,26;5,17;408,76;23,73;221,25;18,87;559248,06;2539,48;33,25;1,94;114,28;2,76;<LOD;52,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;109890,91;1243,48;3918,52;83,42;263608,5;1190,99;2244,64;33,56;<LOD;1347,34;;
129;25.09.2023 15:17;TestAll Geo;330,03;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;361,88;4,44;354,18;4,21;<LOD;4,24;58,32;2,32;5,51;0,75;76,49;4,71;<LOD;2,05;10,07;3,8;<LOD;32,06;0,37;0,16;64,55;6,16;<LOD;34,91;74,92;10,01;71,25;16,53;<LOD;71,28;25113,54;164,33;452,76;37,08;117,79;7,41;186,65;6,93;5545,26;47,35;1,49;0,81;3138,37;40,43;8396,02;85,77;283,03;56,57;884,09;28,2;<LOD;13,76;418,77;17,28;46,54;7,01;<LOD;0,78;<LOD;7,35;<LOD;4,23;37,92;6,17;385,35;25,57;220,56;20,46;581588,63;2536,11;37,94;2,01;139,42;2,96;<LOD;46,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;101174,07;1244,89;715,46;66,53;254622,89;1185,87;3271,7;42,61;<LOD;1491,54;;
130;25.09.2023 15:28;TestAll Geo;426,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;<LOD;380,03;161,91;11,37;<LOD;300000;262,49;120,93;<LOD;13692,56;107474,56;3081,77;<LOD;63;3475,49;322,13;<LOD;218,81;<LOD;300000;2760,52;90,1;<LOD;300000;254379,81;5347,96;313,64;45,95;<LOD;54,19;2404,07;86,94;<LOD;75,83;<LOD;38,04;15,5;4,86;88,28;16,93;<LOD;5,75;80558,52;200,87;1589,85;65,38;18480,34;268,42;<LOD;137,37;;;;;;;;;82,92;21,05;348,22;23,94;;;<LOD;107,11;<LOD;88,23;292629,19;12205,32;<LOD;100,24;202,85;45,81;<LOD;3587,41;<LOD;1,5;<LOD;1,5;<LOD;1,5;21241,44;2359,06;<LOD;2252,36;65934,38;3116,77;37349,52;1924,62;<LOD;6203,73;;
131;25.09.2023 15:35;TestAll Geo;330,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;147,06;7,04;62,74;3,63;<LOD;300000;18,92;3,04;<LOD;310,34;<LOD;7,16;<LOD;5,91;<LOD;9,8;<LOD;85,03;<LOD;300000;<LOD;18,75;<LOD;300000;<LOD;39,11;121,26;52,3;<LOD;301,78;245597,88;1587,48;416,99;77,28;130,88;7,96;24,93;7,45;643,08;32,74;<LOD;1,28;1821,05;39,72;906,27;59,9;591,2;89,22;<LOD;73,24;<LOD;27,49;299,8;34,69;<LOD;21,05;<LOD;1,59;<LOD;16,22;<LOD;10,14;33,1;13,12;233,64;47,21;124,04;38,16;666271,44;3469,68;8,22;2,78;3,34;2,18;<LOD;75,76;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;1508,55;1604,12;124,54;62429,65;704,24;9466,57;97,46;<LOD;3761,87;;
132;25.09.2023 15:42;TestAll Geo;330,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;192,67;14,37;164,74;6,43;<LOD;300000;27,25;6,66;<LOD;864,05;1102,48;33,66;<LOD;8,43;177,99;34,34;<LOD;93,04;<LOD;300000;1700,01;69,26;<LOD;300000;208320,81;1933,22;<LOD;63,73;<LOD;183,42;96845,71;621,9;<LOD;78,12;148,35;9,12;52,35;7,19;1159,38;32,27;6,61;3,97;46992,13;203,18;3405,44;98,49;2757,77;161,66;281,48;54,67;<LOD;22;188,23;27,15;224,67;15,2;10,63;1,14;<LOD;14,56;64,54;8,33;21,63;10,57;208,99;42,51;127,01;34,84;345790,53;6336,81;8,62;4,11;21,72;4,55;<LOD;214,73;<LOD;1,5;<LOD;1,5;<LOD;1,5;41648,42;1691,14;2277,38;721,71;185528,3;1406,15;23294,38;180,61;<LOD;4320,05;;
133;25.09.2023 15:51;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;108,27;2,73;201,94;3,09;<LOD;4,86;158,82;3,22;5,94;0,73;29,43;3,45;<LOD;1,9;10,74;2,87;<LOD;31,08;<LOD;0,21;155,68;7,89;<LOD;34,78;33,67;8,6;120,31;16,17;<LOD;98,21;42878,13;205,47;626,81;39,78;224,4;12,03;135,25;7,44;4580,2;48,52;25,61;2,82;21859,43;140,45;29095,63;216,5;650,57;118,94;624,14;25,51;35,92;8,9;448,76;16,77;56,48;6,81;<LOD;0,77;<LOD;6,94;<LOD;4,18;38,4;5,93;285,49;23,18;183,36;19,03;581710,81;2765,97;16,1;1,59;23,48;1,84;<LOD;48,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;132638,73;1551,16;1364,81;74,38;165822,48;880,62;6531,38;59,39;<LOD;1689,8;;
134;25.09.2023 16:00;TestAll Geo;330,47;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;31,41;17,18;170,74;7,83;<LOD;300000;51,25;8,79;<LOD;1119,51;1206,24;42,25;<LOD;11,43;407,91;45,07;<LOD;140,01;<LOD;300000;6947,26;122,22;<LOD;300000;252798,88;2568,45;194,57;48,73;<LOD;56,7;3096,28;95,55;<LOD;73,97;39,55;4,07;<LOD;6,47;60,49;14,76;<LOD;2,24;16810,53;77,33;1712,57;47,17;1433,71;71,79;260,38;76,57;<LOD;26,01;84,55;32,78;194,1;18,84;82,76;2,53;<LOD;21,52;271,47;15,99;<LOD;20,03;<LOD;82,14;<LOD;69,18;397845,72;7696,2;<LOD;7,73;8,42;5,42;<LOD;279,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;14417,16;1770,02;8312,01;934,38;176188,67;1668,57;43949,32;393,09;<LOD;5897,85;;
135;25.09.2023 16:07;TestAll Geo;330,48;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;163,46;31,01;402,56;13,08;<LOD;300000;33,43;14,76;<LOD;2019,91;4395,43;100,82;<LOD;15,17;744,79;82,23;243,25;99,68;<LOD;300000;36580,73;438,85;<LOD;300000;254292,22;2772,52;169,96;44,54;<LOD;63,22;4684,19;113,65;<LOD;69,59;<LOD;33,86;8,53;5,4;417,12;19,47;<LOD;7,75;88569,16;271,97;2881,08;97,37;3145,7;169,78;<LOD;80,37;<LOD;20,49;93,7;25,82;487,59;18,46;439,14;3,99;40,2;11,78;121,26;9,85;17,37;10,95;98,37;41,23;55,77;34,25;377807,28;7069,45;<LOD;11,04;53,44;9,54;<LOD;506,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;23383,76;1469,33;3321,05;666,86;138233,81;1407,6;11108,23;130,8;<LOD;4656,64;;
