Reading No;Time;Type;Duration;Units;Sequence;Alloy1;Alloy2;Flags;SAMPLE;HEAT;LOT;BATCH;MISC;NOTE;Res;EScale;Shape Time;User Login;LOCATION;INSPECTOR;Fundstelle;Schnitt Nummer;Art des Materials;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Pd;Pd Error;Ag;Ag Error;Ru;Ru Error;Mo;Mo Error;Nb;Nb Error;Zr;Zr Error;Bi;Bi Error;Se;Se Error;W;W Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Al;Al Error;LEC;LEC Error;Pb;Pb Error;Zn;Zn Error;Cu;Cu Error;S;S Error;P;P Error;Si;Si Error;Mg;Mg Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;As;As Error;Hg;Hg Error;Au;Au Error;Bal;Bal Error;Y;Y Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Cl;Cl Error;Sc;Sc Error;Cs;Cs Error;Te;Te Error
1;11.09.2023 10:20;General Metals;0,95;%;Final;C875SiBs : 0.06;C687AlBs : 0.06;;;;;;;;;;;;;;;;;<LOD;1,625;<LOD;1,162;<LOD;1,374;<LOD;1,127;<LOD;1,143;<LOD;0,32;<LOD;0,185;<LOD;0,146;<LOD;0,237;<LOD;0,02;<LOD;0,296;<LOD;5,735;<LOD;0,238;<LOD;6,663;<LOD;3,178;<LOD;1,657;<LOD;0,829;<LOD;1,611;<LOD;0,139;<LOD;1,003;<LOD;1,426;<LOD;0,739;<LOD;80;4,25;0,011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;11.09.2023 10:20;General Metals;0,67;%;Final;Ta : 1.23;NiWht : 1.23;;;;;;;;;;;;;;;;;<LOD;1,056;<LOD;0,712;<LOD;0,717;<LOD;0,702;<LOD;0,649;<LOD;0,201;<LOD;0,137;<LOD;0,131;<LOD;0,014;<LOD;0,394;<LOD;0,25;<LOD;2,051;;;;;;;<LOD;1,798;<LOD;0,602;<LOD;1,672;<LOD;0,129;<LOD;0,396;<LOD;2,846;<LOD;6,569;<LOD;62,6;;;<LOD;0,143;<LOD;0,599;<LOD;1,151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;11.09.2023 10:20;General Metals;0,38;%;Final;NiWht : 0.15;Au 24k : 0.15;;;;;;;;;;;;;;;;;<LOD;1,712;<LOD;1,581;<LOD;1,275;<LOD;1,144;<LOD;1,313;<LOD;0,322;<LOD;0,235;<LOD;0,22;<LOD;0,157;<LOD;0,056;<LOD;0,378;<LOD;2,879;;;;;;;<LOD;1,937;<LOD;0,219;<LOD;2,148;<LOD;0,173;<LOD;0,756;<LOD;6,598;<LOD;1,649;<LOD;84,064;;;<LOD;0,889;<LOD;0,745;<LOD;0,846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;11.09.2023 10:20;General Metals;0,45;%;Final;Pb : 0.00;NiWht : 0.00;;;;;;;;;;;;;;;;;<LOD;2,757;<LOD;1,945;<LOD;1,865;<LOD;1,893;<LOD;1,798;<LOD;0,645;<LOD;0,236;<LOD;0,212;<LOD;0,358;<LOD;0,03;<LOD;0,426;<LOD;6,843;<LOD;3,332;<LOD;8,287;<LOD;3,688;<LOD;1,42;<LOD;0,446;<LOD;1,662;<LOD;0,116;<LOD;0,242;<LOD;0,467;<LOD;1,149;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;11.09.2023 10:20;General Metals;0,9;%;Final;NiWht : 0.00;Au 24k : 0.00;;;;;;;;;;;;;;;;;<LOD;1,619;<LOD;1,3;<LOD;1,153;<LOD;1,002;<LOD;0,928;<LOD;0,213;<LOD;0,208;<LOD;0,172;<LOD;0,086;<LOD;0,019;<LOD;0,174;<LOD;3,829;;;;;;;<LOD;1,634;<LOD;0,514;<LOD;0,81;<LOD;0,204;<LOD;1,536;<LOD;0,425;<LOD;2,512;<LOD;115,319;;;<LOD;0,113;<LOD;0,51;<LOD;0,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;11.09.2023 10:20;General Metals;10,34;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,487;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,005;<LOD;0,037;;;;;;;0,127;0,027;<LOD;0,144;97,78;0,094;0,33;0,03;1,059;0,025;<LOD;0,03;<LOD;0,045;<LOD;80;;;<LOD;0,002;<LOD;0,013;0,173;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;11.09.2023 10:20;General Metals;10,47;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,009;<LOD;0,012;<LOD;0,004;0,486;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,005;<LOD;0,038;;;;;;;0,132;0,027;<LOD;0,144;97,728;0,094;0,335;0,03;1,071;0,025;<LOD;0,028;<LOD;0,043;<LOD;80;;;<LOD;0,004;<LOD;0,014;0,157;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;11.09.2023 10:21;General Metals;10,46;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,49;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,036;;;;;;;0,141;0,027;<LOD;0,144;97,716;0,094;0,327;0,03;1,065;0,025;<LOD;0,029;<LOD;0,046;<LOD;80;;;<LOD;0,002;<LOD;0,014;0,192;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;11.09.2023 10:21;General Metals;10,13;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,488;0,008;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,005;<LOD;0,035;;;;;;;0,102;0,026;<LOD;0,146;97,845;0,094;0,322;0,03;1,039;0,025;<LOD;0,029;<LOD;0,044;<LOD;80;;;<LOD;0,002;<LOD;0,013;0,164;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;11.09.2023 10:21;General Metals;10,38;%;Final;1.7335 : *1.89;1.7357 : *2.27;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,487;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,038;;;;;;;0,146;0,028;<LOD;0,144;97,735;0,094;0,355;0,03;1,052;0,025;<LOD;0,03;<LOD;0,044;<LOD;80;;;<LOD;0,002;<LOD;0,013;0,178;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
