Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Fundstelle;Schnitt Nummer;Art des Materials;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Ca;Ca Error;K;K Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;S;S Error;Mg;Mg Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ru;Ru Error;Sc;Sc Error
25;19.09.2023 10:15;TestAll Geo;301,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;108,37;1,96;203,89;2,23;<LOD;3,46;159,62;2,31;5,26;0,51;28,98;2,47;<LOD;1,5;12,31;2,08;<LOD;21,99;0,47;0,11;155,49;5,68;<LOD;25,17;34,84;6,23;116,94;11,64;<LOD;68,54;43279,19;148,5;610,01;28,46;259,19;18,66;167,99;15,37;709,32;25,62;<LOD;5,41;<LOD;3,09;888515,56;449,85;17,08;1,28;25,25;1,49;<LOD;38,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,86;19,01;131,06;7,04;4611,76;44,48;26249,19;173,32;31189,4;231,75;;;;;;;;;;;;;;;;;;;;;;
26;19.09.2023 10:20;TestAll Geo;301,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,32;1,97;201,9;2,24;<LOD;3,54;161,76;2,34;5,39;0,52;27,97;2,47;<LOD;1,5;11,88;2,07;<LOD;22,01;0,35;0,11;152,81;5,68;<LOD;25,15;32,36;6,22;108,22;11,67;<LOD;69,38;43379,96;149,61;654,08;29,16;282,23;18,67;172,14;15,24;708,63;25,36;<LOD;5,38;<LOD;3,09;888416,5;454,04;16,13;1,28;23,76;1,49;<LOD;38,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;219,18;19,43;127,72;7,13;4611,14;45,04;26189,42;175,22;31371,36;235,25;;;;;;;;;;;;;;;;;;;;;;
27;19.09.2023 10:26;TestAll Geo;300,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,73;1,96;201,42;2,23;<LOD;3,48;159,71;2,33;5,4;0,52;26,95;2,44;<LOD;1,5;13,19;2,07;<LOD;21,8;0,44;0,11;160,1;5,76;<LOD;25,04;34,77;6,23;103,89;11,57;<LOD;69,05;43109,05;149;612,13;28,6;244,77;18,28;160,07;15,09;722,59;25,34;<LOD;5,37;<LOD;3,03;888842,44;450,66;16,03;1,27;25,03;1,49;<LOD;38,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;240,04;18,84;133,1;7,09;4598,58;44,91;26103,45;174,79;31419,84;235,26;;;;;;;;;;;;;;;;;;;;;;
28;19.09.2023 10:31;TestAll Geo;301,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;109,26;1,98;204,22;2,25;<LOD;3,55;160,36;2,32;4,87;0,5;26,15;2,43;<LOD;1,5;14,35;2,08;<LOD;21,33;0,32;0,11;157,54;5,72;<LOD;24,68;35,09;6,25;112,06;11,66;<LOD;69,08;43448,74;149,55;602,05;28,5;262,73;18,57;160,06;15,2;701,12;25,43;<LOD;5,37;<LOD;3,11;888362,75;451,23;17,06;1,28;24,67;1,49;<LOD;37,98;<LOD;1,5;<LOD;1,5;<LOD;1,5;231,53;18,86;133,76;7,04;4589,3;44,4;26284,29;173,65;31484,91;232,99;;;;;;;;;;;;;;;;;;;;;;
29;19.09.2023 10:36;TestAll Geo;300,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,61;1,96;201,12;2,23;<LOD;3,51;158,25;2,32;5,43;0,52;25,5;2,42;<LOD;1,5;12,7;2,05;<LOD;21,84;0,37;0,11;149,16;5,62;<LOD;24,78;35,1;6,25;121,21;11,78;<LOD;69,29;43124,39;149,12;596,03;28,42;254,38;18,27;160,86;15,02;711,37;25,17;<LOD;5,3;<LOD;3,03;888769,25;450,37;16,11;1,27;23,98;1,47;<LOD;38,39;<LOD;1,5;<LOD;1,5;<LOD;1,5;226,16;18,94;134,93;7,09;4587,94;44,69;26195,85;174,49;31377,81;234,21;;;;;;;;;;;;;;;;;;;;;;
30;19.09.2023 10:42;TestAll Geo;300,04;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,94;1,97;202,59;2,25;<LOD;3,53;159,66;2,34;5,2;0,51;27,61;2,47;<LOD;1,5;12,36;2,08;<LOD;21,66;0,32;0,11;154,12;5,72;<LOD;25,58;33,43;6,26;118,01;11,75;<LOD;69,34;43496,77;150,39;653,3;29,23;270,76;18,52;167,92;15,17;728,03;25,39;<LOD;5,4;<LOD;3,08;888162,25;453,19;16,45;1,28;24,29;1,49;<LOD;38,12;<LOD;1,5;<LOD;1,5;<LOD;1,5;215,98;19,16;134,37;7,13;4598,8;44,83;26319,87;175,19;31481,04;234,89;;;;;;;;;;;;;;;;;;;;;;
31;19.09.2023 10:47;TestAll Geo;300,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;110,04;1,97;203,36;2,24;<LOD;3,48;160,33;2,32;5,2;0,51;26,45;2,42;<LOD;1,5;12,96;2,06;<LOD;21,69;0,51;0,11;156,07;5,69;<LOD;24,86;28,91;6,14;124,12;11,73;<LOD;68,73;43437,98;149,12;626,36;28,72;261,65;18,62;172,73;15,36;719,85;25,59;<LOD;5,44;<LOD;3,15;888520,5;451,86;16,5;1,28;26,1;1,5;<LOD;38,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;232,47;18,96;133,2;7,1;4612,97;44,88;26219,27;174,65;31255,95;233,99;;;;;;;;;;;;;;;;;;;;;;
32;19.09.2023 10:52;TestAll Geo;301,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,77;1,98;201,85;2,25;<LOD;3,55;158,64;2,34;5,4;0,52;26;2,44;<LOD;1,5;13,85;2,08;<LOD;22,09;0,26;0,1;152,7;5,7;<LOD;24,93;36,23;6,3;122,03;11,83;<LOD;69,53;43148,27;150,02;635,03;29,06;258,68;18,31;161,33;15,02;707,41;25,15;<LOD;5,31;<LOD;3,08;888922,75;454,31;16,58;1,29;23,95;1,49;<LOD;39,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;231,15;18,99;139,7;7,15;4588,25;44,84;26103,74;174,81;31372,25;235,02;;;;;;;;;;;;;;;;;;;;;;
33;19.09.2023 10:58;TestAll Geo;301;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;106,8;1,96;203,89;2,23;<LOD;3,53;159,81;2,32;5,68;0,52;28,47;2,46;<LOD;1,5;14,13;2,1;<LOD;21,48;0,44;0,11;154,7;5,65;<LOD;24,57;27,25;6,1;127,8;11,74;<LOD;68,62;43419,68;148,74;621,08;28,61;269,93;18,62;167,16;15,25;704,5;25,42;<LOD;5,4;<LOD;3,1;888496,56;451,3;16,54;1,28;24,79;1,48;<LOD;39,04;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,13;18,94;132,9;7,1;4596,31;44,84;26170,61;174,7;31487,89;235,1;;;;;;;;;;;;;;;;;;;;;;
34;19.09.2023 11:03;TestAll Geo;300,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,66;1,96;200,63;2,22;<LOD;3,54;159,7;2,31;5,05;0,51;26,45;2,43;<LOD;1,5;13,32;2,06;<LOD;21,67;0,36;0,11;154,12;5,66;<LOD;24,58;36,67;6,24;113,08;11,57;<LOD;68,49;43351,14;148,87;638,58;28,83;283,27;18,72;175,22;15,31;742,32;25,57;<LOD;5,42;<LOD;3,06;888224,63;454,28;17,27;1,29;25,26;1,5;<LOD;37,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;240,41;19,08;138,58;7,18;4637,92;45,14;26203,76;175,07;31729,04;236,29;;;;;;;;;;;;;;;;;;;;;;
