"";"Ag";"Ag.Error";"Al";"Al.Error";"Bi";"Bi.Error";"Cd";"Cd.Error";"Co";"Co.Error";"Cr";"Cr.Error";"Cu";"Cu.Error";"Fe";"Fe.Error";"Mg";"Mg.Error";"Mn";"Mn.Error";"Mo";"Mo.Error";"Nb";"Nb.Error";"Ni";"Ni.Error";"P";"P.Error";"Pb";"Pb.Error";"Pd";"Pd.Error";"Ru";"Ru.Error";"S";"S.Error";"Sb";"Sb.Error";"Se";"Se.Error";"Si";"Si.Error";"Sn";"Sn.Error";"Ti";"Ti.Error";"V";"V.Error";"W";"W.Error";"Zn";"Zn.Error";"Zr";"Zr.Error"
"TIE_g_1";16,186;0,053;0;0,229;0,69;0,015;0;0,01;0;0,023;0,088;0,008;0,698;0,022;0,472;0,025;0;0,002;0;0,042;0;0,003;0,002;0,001;0;0,027;5,914;0,037;0;0,027;0;0,011;0,004;0,002;0;0,002;0;0,014;3,163;0,035;0;0,076;0;0,049;0,146;0,006;0;0,009;72,623;0,113;0;0,055;0;0,002
"TIE_cuo3_1";0;0,066;2,639;0,144;0,01;0,003;0;0,012;0;0,015;0;0,009;58,64;0,122;0,343;0,009;0;0,002;0;0,021;0,005;0,001;0,002;0,001;0,015;0,007;0,232;0,012;0,542;0,011;0;0,012;0;0,004;0;0,002;0;0,014;0;0,004;35,868;0,065;0,095;0,006;0,108;0,004;0,048;0,004;0;0,032;1,356;0,015;0,047;0,002
"TIE_cuo1_1";53,196;0,163;2,554;0,158;0,704;0,016;0;0,029;0;0,045;0,139;0,012;23,6;0,087;0,633;0,037;0;0,002;0;0,085;0;0,004;0;0,003;0,101;0,023;0,033;0,01;0,472;0,017;0,032;0,012;0;0,006;0;0,002;0;0,063;0;0,011;18,151;0,076;0;0,109;0,221;0,012;0,093;0,011;0;0,065;0;0,037;0,056;0,002
"TIE_cuo1_2";61,739;0,15;3,314;0,126;0,765;0,014;0;0,026;0;0,042;0,144;0,01;15,397;0,066;0,621;0,035;0;0,002;0;0,081;0;0,003;0;0,003;0,093;0,02;0,063;0,007;0,47;0,015;0;0,021;0;0,005;0;0,002;0;0,062;0;0,01;16,815;0,062;0;0,105;0,254;0,011;0,098;0,009;0,179;0,03;0;0,03;0,018;0,002
"TIE_cuo1_3";53,082;0,134;2,562;0,118;0,524;0,013;0;0,026;0;0,026;0,159;0,01;21,757;0,074;0,369;0,03;0;0,002;0;0,052;0;0,002;0;0,002;0;0,036;0;0,014;0,363;0,012;0;0,022;0;0,004;0;0,002;0;0,058;0;0,007;20,889;0,067;0;0,1;0,147;0,009;0,091;0,009;0;0,043;0;0,025;0,021;0,002
"TIE_cuo2_1";0;0,15;2,709;0,23;0,026;0,006;0;0,013;0;0,021;0;0,01;51,394;0,167;0,608;0,014;0;0,002;0;0,024;0;0,003;0;0,002;0;0,017;0,147;0,014;2,069;0,025;0;0,012;0;0,004;0;0,002;0,183;0,009;0;0,005;31,169;0,101;2,573;0,021;0,139;0,006;0,015;0,004;1,229;0,043;7,551;0,04;0,083;0,003
"TIE_cuo4_1";0;0,043;2,264;0,16;0;0,002;0;0,01;0,103;0,036;0,062;0,003;6,925;0,053;59,265;0,129;0;0,002;0;0,024;0,005;0,001;0,002;0,001;0;0,031;0,095;0,009;0,031;0,003;0;0,01;0;0,003;2,811;0,02;0;0,012;0;0,003;26,91;0,07;0;0,01;0,159;0,005;0,061;0,003;0;0,039;1,195;0,021;0,041;0,002
"TIE_cuo4_2";0;0,052;2,533;0,137;0;0,003;0;0,009;0;0,044;0,02;0,003;27,797;0,086;33,453;0,061;0;0,002;0;0,017;0;0,002;0;0,002;0;0,1;0,079;0,007;0,355;0,008;0;0,008;0;0,003;0,45;0,01;0,014;0,005;0;0,003;21,089;0,064;0,071;0,005;0,107;0,004;0,038;0,003;0;0,107;13,829;0,055;0,026;0,001
"TIE_cuo4_3";0;0,016;2,189;0,186;0;0,005;0;0,017;0;0,101;0,109;0,007;0;0,025;46,019;0,159;0;0,002;0,086;0,023;0,005;0,002;0,007;0,001;0;0,05;0,394;0,017;0;0,006;0;0,017;0;0,005;5,628;0,038;0;0,019;0;0,005;44,859;0,095;0;0,016;0,325;0,01;0,113;0,007;0;0,044;0;0,014;0,193;0,004
"TIE_unb_1";0;0,236;1,562;0,212;0,08;0,02;0;0,013;0;0,022;0;0,012;47,874;0,132;0,352;0,017;0;0,002;0;0,032;0;0,003;0,003;0,001;0,041;0,011;0;0,023;32,137;0,099;0;0,012;0;0,004;0;0,002;0,536;0,013;0;0,013;10,77;0,068;5,764;0,033;0,071;0,005;0,041;0,005;0;0,035;0,524;0,017;0,086;0,003
"TIE_unb_2";0;0,132;2,234;0,142;0,04;0,016;0;0,01;0;0,019;0;0,01;49,429;0,103;0,533;0,016;0;0,002;0;0,026;0;0,002;0;0,002;0,051;0,009;0;0,015;23,435;0,069;0;0,009;0;0,003;0;0,002;0,23;0,008;0;0,01;20,47;0,064;2,581;0,018;0,157;0,005;0,052;0,004;0;0,031;0,618;0,015;0,081;0,003
"TIE_pb_1";0;0,056;0;0,422;0,166;0,042;0;0,01;0;0,039;0;0,022;0;0,025;0;0,078;0;0,002;0;0,08;0;0,005;0;0,004;0;0,048;1,064;0,017;93,841;0,232;0;0,011;0;0,006;0;0,002;0,09;0,012;0;0,026;4,389;0,052;0;0,017;0;0,017;0,109;0,009;0;0,058;0;0,02;0;0,014
