"";"Cu";"Zn";"Pb";"Sn";"Sb";"Fe";"S";"Co";"Ni";"Bi";"Ag"
"SNKa_1_1";89,9700159697552;8,13153863703028;0,570348401394909;0,262360264641658;0;1,06573672717792;0;0;0;0;0
"SNKa_1_2";83,3725029377203;13,8631738843828;1,24960591556562;0,190593562809894;0;1,29689604769138;0;0;0,0272276518299848;0;0
"SNKa_1_3";86,178253500481;11,1939045059627;0,974179658273656;0,331343238002168;0;1,32231909728054;0;0;0;0;0
"SNTK_1_1";93,5799127950684;2,45075928431815;1,24542675286924;0;0,0263118328070967;2,61489500325766;0;0;0,02255299954894;0,0601413321305067;0
"SNTK_1_2";93,0325571916238;2,77806083456463;1,64059713659754;0;0,0445814439292811;2,39593417231365;0;0;0;0,108269220971111;0
"SNTK_1_3";93,4263641874202;2,42593858415982;1,43544372364162;0;0,0348220849400931;2,56909604446909;0;0;0,0206353095941293;0,0877000657750494;0
"SNTK_2_1";86,4011207692553;5,27111790365205;5,88881459547235;0;0,0573120641895119;2,38163466743083;0;0;0;0;0
"SNTK_2_2";86,3165394086763;5,77694487896294;5,90549351836077;0;0,0418170272739945;1,95920516672604;0;0;0;0;0
"SNTK_2_3";88,0995563492285;4,92619771757025;5,65864002901867;0,0125561539105444;0,0558051284913084;1,21934205753509;0;0;0,0279025642456542;0;0
"SNTK_3_1";88,2706837048783;7,74647887323944;1,30740291639462;0;0;2,67543450548767;0;0;0;0;0
"SNTK_3_2";88,4911054637865;7,02509529860229;1,44853875476493;0;0;3,03526048284625;0;0;0;0;0
"SNTK_3_3";88,492423158263;7,07595922975401;1,43268298112548;0;0;2,99893463085754;0;0;0;0;0
"SNTK_4_1";94,6734605266519;2,78139606160447;1,3140755497663;0,0357571578167701;0,0651291088805455;1,04717390749112;0;0;0;0,0830076877889306;0
"SNTK_4_2";94,6098475446458;2,68854429304871;1,46445974368688;0;0,066625733209662;1,06470534442891;0;0;0;0,105817340980051;0
"SNTK_4_3";95,3032553096198;2,64479174032954;1,25639393725102;0;0,0589302972444193;0,67180538858638;0;0;0;0,0648233269688612;0
"SNTK_5_1";91,5193189259987;5,10936476751801;1,96201702685003;0;0;1,36214800261952;0;0;0;0,0471512770137525;0
"SNTK_5_2";91,2793587276504;5,64044399699244;1,85168665332807;0;0;1,22851062202908;0;0;0;0;0
"SNTK_6_1";93,9473301324022;1,97875745671468;2,20427760803143;0,0581987487269024;0,0349192492361414;1,56554634075367;0;0;0;0,210970464135021;0
"SNTK_6_2";94,5713385308908;2,08267678774509;1,80452982201335;0,0575476480824302;0,0369949166244194;1,23864461586945;0;0;0;0,208267678774509;0
