Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Sc;Sc Error;S;S Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
20;19.09.2023 10:04;TestAll Geo;0,43;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;305,49;<LOD;113,05;<LOD;300000;<LOD;96,71;<LOD;4902,75;<LOD;430,34;<LOD;74,09;<LOD;25,18;<LOD;3238,87;<LOD;300000;<LOD;893,52;<LOD;300000;<LOD;37389,29;<LOD;48033,43;<LOD;433,2;<LOD;877,32;<LOD;1118,04;<LOD;51708,05;<LOD;40110,04;<LOD;1,5;<LOD;591,45;<LOD;162,11;1292,09;451,11;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;2536,79;<LOD;1937,2;<LOD;12426,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;19.09.2023 10:07;TestAll Geo;1,95;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;46,91;<LOD;99,13;<LOD;300000;<LOD;20,07;<LOD;349,52;<LOD;773,44;<LOD;1964,01;<LOD;1783,68;<LOD;15700;<LOD;300000;<LOD;3114,67;<LOD;300000;<LOD;5762,12;<LOD;17918,37;<LOD;1884,51;<LOD;16778,54;<LOD;19195,37;<LOD;3847,73;<LOD;2689,95;907407,81;113108,27;<LOD;494,57;<LOD;553,3;<LOD;215,86;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;2218,88;<LOD;1953,74;<LOD;14528,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;19.09.2023 10:07;TestAll Geo;1,9;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;479,46;<LOD;2285,28;<LOD;300000;<LOD;57,71;<LOD;2716,74;<LOD;2801,33;<LOD;3729,46;<LOD;651,8;<LOD;72188,14;<LOD;300000;<LOD;11047,07;<LOD;300000;<LOD;14763,05;<LOD;26650,46;<LOD;10018,38;<LOD;12306,96;<LOD;2947,26;<LOD;19323,21;<LOD;15556,4;<LOD;1,5;<LOD;3484,62;<LOD;2444,06;1606,6;398,08;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;23777,26;<LOD;2993,32;<LOD;64463,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;19.09.2023 10:07;TestAll Geo;1,83;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;3459,42;<LOD;123,55;<LOD;300000;<LOD;1584,52;<LOD;58745,16;<LOD;4785,43;<LOD;2709,2;<LOD;3375,92;<LOD;18373,73;<LOD;300000;<LOD;4872,6;<LOD;300000;<LOD;13308,36;<LOD;16653,07;<LOD;13229,97;<LOD;17702;<LOD;785,41;<LOD;6634,57;<LOD;5501,57;738806,56;274318,09;<LOD;3080,61;<LOD;478,29;<LOD;31222,85;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;1994,82;<LOD;1713,57;<LOD;12367,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;19.09.2023 10:07;TestAll Geo;2,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;3426,16;<LOD;436,66;<LOD;300000;<LOD;63,43;<LOD;900,25;<LOD;1551,48;<LOD;3375,8;<LOD;357,16;<LOD;129367,27;<LOD;300000;<LOD;9666,53;<LOD;300000;<LOD;10837,98;<LOD;21941,55;<LOD;9070,97;<LOD;21915,43;<LOD;565,54;<LOD;20298,65;<LOD;16618,99;<LOD;1,5;<LOD;2359,8;<LOD;2357,35;<LOD;67,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;1377,14;<LOD;1924,01;<LOD;38240,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;19.09.2023 10:15;TestAll Geo;301,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,37;1,96;203,89;2,23;<LOD;3,46;159,62;2,31;5,26;0,51;28,98;2,47;<LOD;1,5;12,31;2,08;<LOD;21,99;0,47;0,11;155,49;5,68;<LOD;25,17;34,84;6,23;116,94;11,64;<LOD;68,54;43279,19;148,5;610,01;28,46;<LOD;5,41;<LOD;3,09;888515,56;449,85;17,08;1,28;25,25;1,49;<LOD;38,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,86;19,01;131,06;7,04;4611,76;44,48;259,19;18,66;167,99;15,37;709,32;25,62;26249,19;173,32;31189,4;231,75;;;;;;;;;;;;;;;;;;;;;;;;
26;19.09.2023 10:20;TestAll Geo;301,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,32;1,97;201,9;2,24;<LOD;3,54;161,76;2,34;5,39;0,52;27,97;2,47;<LOD;1,5;11,88;2,07;<LOD;22,01;0,35;0,11;152,81;5,68;<LOD;25,15;32,36;6,22;108,22;11,67;<LOD;69,38;43379,96;149,61;654,08;29,16;<LOD;5,38;<LOD;3,09;888416,5;454,04;16,13;1,28;23,76;1,49;<LOD;38,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;219,18;19,43;127,72;7,13;4611,14;45,04;282,23;18,67;172,14;15,24;708,63;25,36;26189,42;175,22;31371,36;235,25;;;;;;;;;;;;;;;;;;;;;;;;
27;19.09.2023 10:26;TestAll Geo;300,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;106,73;1,96;201,42;2,23;<LOD;3,48;159,71;2,33;5,4;0,52;26,95;2,44;<LOD;1,5;13,19;2,07;<LOD;21,8;0,44;0,11;160,1;5,76;<LOD;25,04;34,77;6,23;103,89;11,57;<LOD;69,05;43109,05;149;612,13;28,6;<LOD;5,37;<LOD;3,03;888842,44;450,66;16,03;1,27;25,03;1,49;<LOD;38,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;240,04;18,84;133,1;7,09;4598,58;44,91;244,77;18,28;160,07;15,09;722,59;25,34;26103,45;174,79;31419,84;235,26;;;;;;;;;;;;;;;;;;;;;;;;
28;19.09.2023 10:31;TestAll Geo;301,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;109,26;1,98;204,22;2,25;<LOD;3,55;160,36;2,32;4,87;0,5;26,15;2,43;<LOD;1,5;14,35;2,08;<LOD;21,33;0,32;0,11;157,54;5,72;<LOD;24,68;35,09;6,25;112,06;11,66;<LOD;69,08;43448,74;149,55;602,05;28,5;<LOD;5,37;<LOD;3,11;888362,75;451,23;17,06;1,28;24,67;1,49;<LOD;37,98;<LOD;1,5;<LOD;1,5;<LOD;1,5;231,53;18,86;133,76;7,04;4589,3;44,4;262,73;18,57;160,06;15,2;701,12;25,43;26284,29;173,65;31484,91;232,99;;;;;;;;;;;;;;;;;;;;;;;;
29;19.09.2023 10:36;TestAll Geo;300,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;106,61;1,96;201,12;2,23;<LOD;3,51;158,25;2,32;5,43;0,52;25,5;2,42;<LOD;1,5;12,7;2,05;<LOD;21,84;0,37;0,11;149,16;5,62;<LOD;24,78;35,1;6,25;121,21;11,78;<LOD;69,29;43124,39;149,12;596,03;28,42;<LOD;5,3;<LOD;3,03;888769,25;450,37;16,11;1,27;23,98;1,47;<LOD;38,39;<LOD;1,5;<LOD;1,5;<LOD;1,5;226,16;18,94;134,93;7,09;4587,94;44,69;254,38;18,27;160,86;15,02;711,37;25,17;26195,85;174,49;31377,81;234,21;;;;;;;;;;;;;;;;;;;;;;;;
