"";"RFAID";"Context";"Level";"Parts";"Lip";"Collar";"Rim";"MnBT";"Angle.fc";"Diameter";"Temper";"Slip";"Burnish";"JAS_decor";"Loc1"
"1";"MAR3_4";"Pit2";"-10";"LU";"F_RE_Ireg_Thi";"";"S";11;"4";32;"32";"yes_s";"no_b";"Undecorated";""
"2";"MAR3_1";"C3";"-10";"LC";"R_RE_Reg";"Shv_Ev";"Ev";7;"4";10;"31";"no_s";"no_b";"Undecorated";""
"3";"MAR3_18";"Pit1";"-10";"LU";"R_RE_Reg";"";"S";6;"1";NA;"32";"yes_s";"no_b";"Mat";"U"
"4";"MAR3_12";"Pit1";"-10";"LC";"F_RE_Reg";"L_Ev";"Ev";NA;NA;24;"31";"yes_s";"no_b";"Undecorated";""
"5";"MAR3_13";"Pit1";"-10";"LU";"R_RE_Reg_Tho";"";"S";6;"5";16;"34";"yes_s";"no_b";"Undecorated";""
"6";"MAR3_19";"Pit1";"-10";"LU";"F_RE_Reg";"";"S";6;"1";14;"31";"no_s";"no_b";"Mat";"U"
"7";"MAR3_17";"Pit1";"-10";"LU";"F_RE_Reg";"";"S";7;"1";14;"31";"no_s";"no_b";"Undecorated";""
"8";"MAR3_3";"Pit2";"-10";"LU";"R_RE_Ireg";"";"S";7;"1";12;"33";"no_s";"no_b";"Paint";"I"
"9";"MAR3_22";"Pit1";"-20";"LU";"F_ShE_Reg";"";"S";8;"1";20;"32";"yes_s";"yes_b";"Mat";"U"
"10";"MAR3_32";"Pit1";"-30";"LCUB";"R_RE_Reg";"Sh_Str";"Ev";5;"4";14;"31";"yes_s";"no_b";"Undecorated";""
"11";"MAR3_62";"";"-40";"LUB";"F_ShEi_Ireg";"";"S";8;"1";12;"33";"yes_s";"no_b";"Undecorated";""
"12";"MAR3_55";"";"-40";"L";"R_ShEi_Reg";"";"S";6;"1";20;"31";"no_s";"no_b";"Undecorated";""
"13";"MAR3_66";"Pit1";"-40";"LU";"F_RE_Reg";"";"S";7;"3";26;"31";"yes_s";"no_b";"Undecorated";""
"14";"MAR3_49";"";"-40";"LC";"R_RE_Reg";"L_Ev";"Ev";NA;NA;16;"31";"yes_s";"no_b";"Undecorated";""
"15";"MAR3_50";"";"-40";"LUB";"F_ShE_Reg";"";"S";8;"1";14;"32";"no_s";"no_b";"Undecorated";""
"16";"MAR3_58";"";"-40";"L";"F_RE_Ireg";"";"S";7;"2";24;"31";"no_s";"no_b";"Undecorated";""
"17";"MAR3_56";"";"-40";"L";"F_RE_Ireg";"";"S";6;"2";12;"31";"yes_s";"yes_b";"Undecorated";""
"18";"MAR3_51";"";"-40";"LU";"R_RE_Ireg";"";"S";9;"1";24;"31";"yes_s";"yes_b";"Undecorated";""
"19";"MAR3_54";"";"-40";"LU";"R_RE_Ireg";"";"S";8;"1";12;"31";"yes_s";"no_b";"Mat";"U"
"20";"MAR3_53";"";"-40";"LU";"R_RE_Ireg";"";"S";6;"1";12;"31";"no_s";"no_b";"Undecorated";""
"21";"MAR3_57";"";"-40";"L";"R_RE_Ireg";"";"S";7;"1";16;"31";"yes_s";"no_b";"Undecorated";""
"22";"MAR3_52";"";"-40";"L";"F_RE_Reg";"";"S";9;"1";20;"31";"no_s";"no_b";"Undecorated";""
"23";"MAR3_72";"";"-50";"LCU";"R_RE_Reg";"L_Ev";"Ev";7;NA;22;"31";"yes_s";"no_b";"Undecorated";""
"24";"MAR3_84";"";"-50";"B";"";"";"Ev";6;NA;6;"32";"yes_s";"no_b";"Paint";"B"
"25";"MAR3_78";"";"-50";"LU";"R_RE_Reg";"";"S";8;"1";18;"31";"no_s";"no_b";"Undecorated";""
"26";"MAR3_73";"";"-50";"LU";"P_RE_Reg";"";"S";5;"2";16;"31";"yes_s";"yes_b";"Undecorated";""
"27";"MAR3_74";"";"-50";"LU";"R_RE_Ireg";"";"S";7;"3";16;"34";"no_s";"no_b";"Undecorated";""
"28";"MAR3_80";"";"-50";"LU";"R_RE_Reg_Tho";"";"S";5;"2";18;"34";"yes_s";"yes_b";"Undecorated";""
"29";"MAR3_81";"";"-50";"LU";"F_ShEi_Ireg";"";"S";6;"2";12;"31";"no_s";"no_b";"Undecorated";""
"30";"MAR3_79";"";"-50";"LC";"R_RE_Reg";"Sh_Ev";"Ev";8;NA;22;"32";"yes_s";"no_b";"Undecorated";""
"31";"MAR3_77";"";"-50";"LU";"R_ShEo_Reg_Thi";"";"S";5;"2";22;"31";"yes_s";"no_b";"Undecorated";""
"32";"MAR3_76";"";"-50";"LU";"R_RE_Ireg";"";"S";7;"1";10;"31";"no_s";"no_b";"Undecorated";""
"33";"MAR3_116";"";"-50";"LC";"R_RE_Reg_Th";"?";"Ev";8;NA;NA;"31";"yes_s";"no_b";"Undecorated";""
"34";"MAR2_56";"";"-30";"LC";"P_RE_Reg";"Sh_Ev";"Ev";6;NA;14;"33";"yes_s";"no_b";"Undecorated";""
"35";"MAR3_115";"";"-50";"LU";"R_RE_Ireg";"";"S";7;"2";16;"31";"yes_s";"no_b";"Undecorated";""
"36";"MAR3_88";"";"-60";"LC";"R_RE_Reg";"L_Ev";"Ev";6;"5";18;"31";"yes_s";"no_b";"Undecorated";""
"37";"MAR3_89";"";"-60";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;22;"31";"yes_s";"no_b";"Undecorated";""
"38";"MAR3_90";"";"-60";"LU";"F_RE_Ireg";"";"S";5;"1";10;"31";"yes_s";"no_b";"Mat";"U"
"39";"MAR3_87";"";"-60";"LU";"R_RE_Ireg";"";"S";8;"1";20;"32";"yes_s";"no_b";"Undecorated";""
"40";"MAR3_100";"";"-70";"LU";"F_ShEi_Reg";"";"S";8;"2";12;"34";"yes_s";"no_b";"Mat";"U"
"41";"MAR3_95";"";"-70";"LU";"F_RE_Ireg";"";"S";9;"1";16;"31";"yes_s";"no_b";"Mat";"U"
"42";"MAR3_101";"";"-70";"LU";"R_RE_Reg_Thi";"";"S";8;"5";NA;"31";"yes_s";"no_b";"Undecorated";""
"43";"MAR3_96";"";"-70";"LC";"R_RE_Reg";"Sh_Str";"Ev";NA;NA;28;"34";"yes_s";"no_b";"Undecorated";""
"44";"MAR3_92";"";"-70";"LC";"R_RE_Reg";"L_Str";"Ev";NA;NA;32;"31";"yes_s";"no_b";"Undecorated";""
"45";"MAR3_94";"";"-70";"LC";"R_RE_Reg";"L_Ev";"Ev";NA;NA;16;"31";"yes_s";"no_b";"Undecorated";""
"46";"MAR3_93";"";"-70";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;14;"34";"yes_s";"no_b";"Undecorated";""
"47";"MAR3_98";"";"-70";"LU";"F_RE_Ireg";"";"S";7;"1";10;"31";"yes_s";"yes_b";"Undecorated";""
"48";"MAR3_107";"";"-80";"LU";"R_RE_Ireg";"";"S";8;"1";14;"31";"no_s";"no_b";"Undecorated";""
"49";"MAR3_109";"";"-80";"LU";"F_RE_Ireg";"";"S";6;"2";20;"32";"no_s";"no_b";"Undecorated";""
"50";"MAR3_108";"";"-80";"LU";"R_ShEo_Ireg";"Sh_Str_Co";"S";7;"5";20;"31";"no_s";"no_b";"Undecorated";""
"51";"MAR3_110";"";"-90";"LC";"F_RE_Reg";"L_Str";"Ev";NA;NA;34;"31";"yes_s";"no_b";"Undecorated";""
"52";"MAR3_112";"";"-90";"LC";"R_RE_Reg";"Sh_Str";"Ev";NA;"5";16;"31";"yes_s";"yes_b";"Undecorated";""
"53";"MAR3_111";"";"-90";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;26;"31";"yes_s";"no_b";"Incision";"L"
"54";"MAR1_6";"";"-20";"LCU";"F_RE_Reg";"L_Str";"Ev";9;"4";38;"31";"yes_s";"no_b";"Various Impressions";"I"
"55";"MAR1_19";"";"-20";"LU";"F_RE_Ireg";"";"S";9;"2";12;"34";"no_s";"no_b";"Undecorated";""
"56";"MAR2_13";"";"-20";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;24;"31";"yes_s";"no_b";"Undecorated";""
"57";"MAR1_10";"";"-20";"LU";"F_RE_Reg";"";"S";8;"2";12;"31";"no_s";"no_b";"Undecorated";""
